score,comment,afinn_score,vader_score,k10
10.0,"It is recommended for Kensington Resort Seogwipo Store for Jeju.The price was appropriate, especially the staff was very friendly.I stayed in a renewed room, but it's clean and satisfied for two living rooms.The family comes back and forth.The accommodation is satisfactory as a whole, so I think I'll return to you next time!",10.0,0.9041,0
10.0,"If you first open the door of the hostel, you may be surprised for a while, but there was no shortage to use.The shampoo in the multi -sashimi was better than the anxiety because it was not enough.I have plenty of towels every day.",-3.0,-0.2617,0
10.0,"It was a little longer since it was built.In addition, the most impressive thing was that each employee was very satisfied with his face, and he was very satisfied with the response.It was the best!Thanks to him, I feel the good image of the Kancington Resort!^^",15.0,0.9226,7
10.0,"It was by far the best accommodation during this trip to Jeju.
The child liked it so much about traveling with a five -year -old child.
First of all, my child had to sleep with my mom, but the bed in the master room was great enough.The sofa was right next to the bed and I sat on the couch and liked the child to see the outside view.
The single bed in a small room was not small, and the bedding management was so good that we could fall asleep comfortably.
All of the household sofas in the living room and kitchen were cleanly maintained, and the staff were also very comfortable.
If you visit Seogwipo again on your next family trip, you will use Kensington Seogwipo dot without worry.
Thanks to this, it was a comfortable trip.",18.0,0.9877,7
10.0,"The location was also close to the destination, and the short -haired female employee who was around 2 o'clock was so thankful that it was a good memory for family trips.The breakfast is also delicious.And thank you :)",10.0,0.9208,8
10.0,"The staff are really kind
The facilities are very spacious, clean, clean and comfortable.
The breakfast is so good, the scenery is so good, and thanks to the good service, I get a good service.
Recommended as a honeymoon destination",25.0,0.986,5
10.0,"It became a satisfying family trip to the friendly attitude of the resort staff.
There are many children and parents' trips, and there are many different schedules than the scheduled situation, so there are many situations that have been forced to ask employees and canceled the reserved situations.I finished well.The next time I travel to Jeju Island, I think I will go back to Kingston Resort (PS dissatisfied wife is satisfied.)",1.0,0.1531,7
10.0,"I didn't expect it to go to the cheap hostel
Upgrade the room to a remodeled room
The interior of the resort was so cool and good to walk
The facilities were clean, the lobby atmosphere was good, the towels were completely new, and the bedding was clean!
I was so satisfied for 2 nights
In particular, I was surprised at the kind service of the staff of Cheon Jung -min ~
Thanks to it, it was a pleasant trip ~",18.0,0.9812,2
10.0,"Since I was a five -family family, I made a reservation with the idea of making a cheaper one.This is a completely Little Shilla Hotel.The landscaping and walking courses are also good, so the resort atmosphere.It's a remodeled room, so it's clean, comfortable and comfortable.The staff were kind and kind, so I felt good when I checked out.If you go to Jeju on the wall, I will choose Kensington again without hesitation !!",16.0,0.9663,1
10.0,"I went with my mother and my grandmother!

The surrounding promenade was so pretty that I liked the promenade so much and the breakfast was so satisfying.The room was also a remodeling room, so it was clean and comfortable. Thank you for your friendly and the best convenience when checking in.If you come to your family next time, I think I'll come here ~~

And it was nice to have a lot of parking lots ♡",17.0,0.9786,6
10.0,"The surrounding trails are so pretty and the remodeling is new, so it's good for the condition price service for the price.The staff service was so kind that I was so satisfied with my family.",8.0,0.9458,1
10.0,"I was worried that it would be messy if I went to adults, but it was so clean.Especially because it was renewed, the bed sofa is comfortable and the air conditioner is new.
I am also satisfied with the free coffee machine.
In addition, the bathroom product was prepared in large capacity, so it could be used casually and provided towels and clean bedding.
The parking is convenient, the surrounding Olle trail is good to walk, and the necessary facilities such as convenience store cafes are not far and complicated, so I will come to Seogwipo Kensington again.
The accommodation is the best during my trip to Jeju ~~~ ^^",13.0,0.9832,7
10.0,"It was clean and so good because it was remodeling the accommodation.The staff are also friendly, and there are restaurants in front of the resort, and the convenience store arcade is comfortable and the promenade is so good.It was a very satisfying hostel than I thought",12.0,0.9402,5
10.0,"It stayed on the 5th floor of the remodeled Premier Ocean View Room.I referred to several bloggers before the reservation, and the actual appearance was the same as the blog picture.The front staff are kind, clean, comfortable, and not joke.It was a renovate room, so it was clean and good.
The promenade was well done and the pool was well and healing itself.If you go to Jeju Island, you want to stay again.If you think about the high price of peak season, you are more satisfied and more satisfied than the Shilla or Lotte Hotel.",18.0,0.9741,1
10.0,"I reserved two rooms with two rooms, and I had a very comfortable rest. The cup ramen provided for free was delicious. All of the staff were friendly. Dinner buffet at Ashley Queens was also okay.I couldn't play a lot. If I wanted to have a well -established Gangjeong Cheonsan book, I hope that a safe staircase goes down to the cloth.",11.0,0.9621,0
10.0,"I went here and there and arrived late in the evening
You can upgrade your room for free, and your staff will be kind and take a good time for 4 nights and 2 nights.
Esuli breakfast is also satisfactory ~ ㅎㅎ
Jungmun Seogwipo is perfect for sightseeing",9.0,0.9413,2
10.0,"I used a renewal room from Kensington Resort, but the room was bright and clean.In addition, there was a pretty promenade around the resort, so it was easy to walk.When I was using the room, I had some inconveniences and contacted me, and I solved it quickly and became a very comfortable stay!Thank you for your kind and rapid solution :)",13.0,0.987,1
10.0,"I brought the children ~
It's perfect for the room size for using the family.
The room is also upgraded, so I relax well in the remodeled room.
There's no reason not to come to this price for morning breakfast.
There are many places to look around nearby
I want to come again in the summer ~~
This is recommended ~~",5.0,0.8664,6
9.6,"It is expected to have a lot of time staying at home
Advantages
1. Food cooking available
2. There are many things to see around
3. Friendly staff
4. Ocean view
5. Good feeling called Kensington Eland
6. Spacious parking lot
7. Good to be around the hotel
disadvantage
1. Older facility (Open below the hand is washed below the 80's retro feel)
2. There is a coin laundry CU on the first floor of the basement, but there is no Elbe 1+1 in front of Seven Eleven.
3. Take a toothbrush or a shower towel
4. There is no shampoo and the shower gel (?)
It can be built up like a rushing tightly
5. Towels or sheet change for more than 4 days
I will do it in 2.It's a pity because it's 3 days
Still, thanks to the kind staff, this is solved
It was good in many ways!
The staff are all kind
Even though I know it's a gourd, Omegi and special products are spoken v!",18.0,0.9793,7
10.0,The room is bigger than the blog picture!The living room is quite large and two rooms are clean and the bedding is clean.The pool is also quite big. It's better to play with the baby and I'm more fun ㅋㅋㅋ It's too clean because it's too clean.The food is also delicious.Thank you so much,20.0,0.9306,1
10.0,"I came from the company, but it was remodeled, so the room was clean and the staff were so friendly and I stayed so comfortably for 2 nights.",6.0,0.9446,2
10.0,The ocean view was so pretty and it was warmly well done in the cold weather.This is a jeong to be used again,1.0,0.8367,1
10.0,"I traveled with four families, but I was depressed because I couldn't see Jeju a lot, but I went to the hostel so I checked out slowly the next day until 1 o'clock and upgraded the room with the ocean view.You provided me to eat coffee at the cafe.
I think it will remain a good memory because you are so kind and considerate.
I took a lot of pretty pictures on the lodgings and the window sofa.I was tired of Jeju Island, but the heating was just right and good !!
The next day I went out and the promenade was good and the valley was flowing next to it.If the weather was good, I would have enjoyed more resort facilities.",13.0,0.983,7
10.0,"Jeju Island is really often visited. Every time I went to an expensive hotel, I went to my family trip and chose it as a resort.
The view was also good ~ The staff were also kind and satisfied with it ~ !! ^^",7.0,0.8652,7
10.0,"This is a resort that I stayed and stayed at the end of July.It was two nights in the remodeled room and the staff were clean and friendly ~
I also liked the pool too

In addition, the convenience store was so comfortable on the first basement floor ~
My children still want to go again ~

Next time, if I go to Jeju Island again, I want to stay here again ~",10.0,0.9266,2
10.0,"The staff upgraded the room condition and had a comfortable and comfortable one night in the remodeled room. I was sensitive to cleanliness and bedding. I was very satisfied with the capsule coffee.
Thank you to all the staff who are kind to you.",10.0,0.9392,2
10.0,"With my uncomfortable mother
With adult youth
Jeju family trip in 10 years
It can satisfy everyone ~~
It was the best hostel ^^
As soon as you return
To catch the schedule
This is the Jeju Shilla Hotel I want to go back.",2.0,0.7096,7
7.6,"From February 7th to 9th, I had four families and two nights.It was A dong, but overall, the room is in good condition and is good.However, soundproofing is a bit lacking.It took a bit of an old room style, but the price was relatively good.The facilities were okay with Ashley Queens, but the rest of the facilities were a bit unfortunate.There was only karaoke .. TT parking space is suitable.You must be able to find it with a condition that you need to solve in house or you have to go out with a car.",12.0,0.8126,4
4.8,"I had a parent and a child, so I could cook and chose a real room, but I had little cleaning.",0.0,0.0,1
7.2,"After visiting in the summer, I visited it, but I couldn't swim, so I had no additional facilities.
It smells in the bathroom",-1.0,-0.4969,3
9.2,"I liked the facility or room as a whole, but it was a pity that I coped with the noise.",0.0,-0.2263,6
10.0,I'm so satisfied,2.0,0.4754,1
8.4,Recommended for family trips,2.0,0.2023,0
7.6,"I stayed well with my family without any inconvenience.
It feels well managed as a whole, but because of the year, I thought I would need to remodel inside the accommodation.
The breakfast was good.",1.0,0.7583,3
10.0,I recommend it,2.0,0.3612,7
10.0,I spent the best time with two preschoolers.,3.0,0.6369,7
8.4,"I visited because of business trip.
It was a sauna renewal and there was no gym, but there was a merit in the condition of the hump condition and the staff attitude.I am willing to visit with my family in the future.",-1.0,0.4767,3
8.4,"Remodeling is clean.
I think it's good to go with a child.
But it's a bit vague in the location",3.0,0.296,8
5.2,"The lobby and the corridor are stylish and good with remodeling, but the room is completely grilled.",1.0,0.25,5
8.4,"Even though the child changed, he was doing well and he chose so well as a hostel",0.0,0.4939,0
8.8,"It is good for traveling to Seogwipo.
Quiet and good facilities.",6.0,0.7003,9
8.8,The property of the accommodation is good and the service of the direct wins is very kind and quick.,9.0,0.8832,5
10.0,"I chose a day tied up for a day.
It was so good than before.The building is long
It was too much and it was well maintained.In particular, Front Cheon Jung -min smiled so brightly and was so kind to responding so kindly.I was impressed by asking me and providing convenience.thanked",10.0,0.9653,7
8.8,The location is good and Halla Mountain View Sea View is so cool ~~ It was the best for the price ~ It was a little cold at night.,7.0,0.8776,5
7.2,A lot of noise upstairs!,0.0,0.0,7
9.6,I stayed in the hostel and was comfortable.,2.0,0.5106,3
9.2,"I went to my mom, but the scenery was good and the living room was so good",6.0,0.8271,5
9.2,"In the newly remodeled premium room
I stayed for 2 nights and 3 days, but it was clean and so good",5.0,0.8334,2
10.0,"It is good because it is renovated
The bedding is clean and the view is good
Mt. Hallasan or both sea views are good anywhere ~~ I want to use it again next time.",12.0,0.8934,5
7.2,"I chose a resort to stay in one space, but the price was cheaper than one night.However, it is a place where you have to travel to some extent that you can't be provided as it is, even if all the basic service policies are written.I had to keep checking, contact and contact again to receive the 2nd cleaning service.Eventually, when I came back to the hostel, it was not cleaned and I checked out because it was the last day, but I basically felt that the policies were not well aware of the policy in the resort.Although it was kind, the resort was well aware of different packages and services for each guest who was informed at the time of booking, and even if the staff shifted, the memo remained and checked.However, it was 160,000 won per night and I wanted to see a beautiful sea view with a generous feeling that I shouldn't want this service.",12.0,0.9608,2
10.0,"I planned for Seogwipo and spent three nights, and I am very satisfied with the cleanliness of the location and the accommodation.",2.0,0.4754,8
10.0,"I used a lot of children because I had a lot of children, but I used to use it for two nights because it was cleanly managed except for traces in time, and the staff were so kind that I made a pleasant trip",5.0,0.91,7
10.0,"I always hold a hostel on Seongsan side, but this time I decided to be Seogwipo.It was 3 nights in the 5th floor of the renewed 5th floor.The scenery that looks outside the window was enough to feel Jeju.Ashley buffet was also satisfactory and I bought various things at the Kenny Futures event.The products were cheaper than the market price, so I bought a gift for my colleagues ^^ ~",2.0,0.8185,1
9.2,"I made a reservation for the price by including breakfast, but finally it was a general reservation.",0.0,0.0,1
9.6,"Jeju trip to Jeju.I was happier thanks to Kensington Resort Seogwipo.
Thank you for upgrading to the room where you can see a nice sunset and sunrise.
It wasn't a remodeled room, but it was well managed, so I didn't feel particularly uncomfortable unlike other reviews.
It's amazing that this person can stay at this price.It's a low season, but I think it's the best at this price.If you go back to Jeju Island, I will choose this without hesitation.

One thing that is unfortunate is parking.
There is a lot of cotton, so there is no problem, but the space per unit is too narrow.
The cars were stuck and the parking was a bit uncomfortable.
All are all satisfied.",7.0,0.9492,1
10.0,"The room was a bit hot, so I had a heating off and I slept with the air conditioner.The staff are also friendly, and Ashley Queenz is also delicious.",5.0,0.7845,2
6.8,"I don't even take the towels that I used to change towels, but I just throw a towel, and I am not satisfied with the cleaning status.
The front was kind, but there was also a lack of explanation of the evacuation of evacuation at dawn.That's too bad.",-3.0,-0.7268,1
10.0,Children like,2.0,0.3612,4
6.0,"I heated the room temperature with a jjimjilbang, but I entered the room at night, so I could not sleep in the room because it was not open and turned on the air conditioner.Only one small swing door can be ventilated in the living room.I can't sleep in bed for two days and sleep on the sofa between the living room sofa;At this price, rooms without 4 5 -star living rooms will be better.",2.0,0.5927,1
10.0,"Once the room was so neat and there was also Ashley on the first floor, so I enjoyed it comfortably.",4.0,0.9036,2
8.4,"There were one night with the family members and eight people.
There was also an Esuli queen on the first floor, so the buffay was so good ^^ I added one child, but thank you so much for checking with a blanket set.",5.0,0.6829,6
9.2,"The price was good, but the room furniture was very old.After the reservation, I was sorry to find a cheaper and beneficial promotion in a third -site.The staff were kind and I liked breakfast.The promenade was also very good.",9.0,0.9552,1
8.0,"The facility was pleasant and good.In particular, I can use Ashley for breakfast.",6.0,0.5106,6
8.8,"I want to give 5 points in terms of service, such as accommodation condition and cleanliness staff, but the room is very stuffy.I couldn't open the window except the living room, and the twin bedroom was not closed.",1.0,0.0387,3
10.0,"I used a renewed room
Because it was central heating, I personally couldn't raise the temperature of the room, but it was a little cold, so I brought it right away. The service is good.",3.0,0.5927,1
9.6,"I used it in the summer, but I also like the kids and the facilities are good haha",8.0,0.9022,5
10.0,Very recommended,2.0,0.2716,0
9.2,"Good accommodation for the price ~
There is a year, so don't expect the facility ~",3.0,0.4404,6
10.0,"hello!
I was worried that I had to go with 4 minor adults, but I was satisfied with the room with a really nice ocean view in a small living room in two rooms!
I went in winter, but the resort was always warm and the resort was very well decorated in palm trees, so I was happy to be in the resort!
The price was also cheaper, so I was more satisfied! 😄
Thank you for your friendly service!",12.0,0.9861,1
10.0,"After planning a trip to Jeju Island in January 24, I searched for the accommodation in Agoda and booked.

I think the cost of two nights and three days is appropriate and the accommodation is appropriate.

The location was good and the facilities were good and satisfied.",12.0,0.8225,8
8.0,"Wait 20 minutes while checking in
Change the room for cooling rooms.50 minutes of waste.
The room has been upgraded.Esuli queen breakfast would be cheaper",-1.0,-0.4215,1
6.4,"I was in a hurry, but the price was good
Breakfast was delicious",6.0,0.872,5
9.2,"The room is so clean, big and looks out of the window!It was so good.And it was very quiet to see if the soundproofing was well, and the staff was so kind that I wanted to go again ㅎㅎ There is a gimbap restaurant... I was crazy !! .. I went twice during the hotel.",6.0,0.8567,9
10.0,The garden and promenade are awesome. Heating is also hot.,4.0,0.6249,3
8.8,"It was uncomfortable because it seemed to be excessive, and the staff of the swimming pool and exit were not good.But other hotel hotel staff.All satisfaction",-4.0,0.0772,4
9.6,"Satisfaction with the price of the hostel was high.I liked the garden and the Olle trail around the view.The accommodation condition was not a remodeled room, but it was a little unfortunate, but it was good for money and there was a restaurant around.",5.0,0.4835,3
7.2,"It was old, but it was better than I thought.",2.0,0.5927,4
10.0,"Everything is good
It is good to sell souvenirs in the lounge and the parking lot is good.",9.0,0.8271,5
7.6,I want to get 5 out of 5 points.But the room is a bit old.It seems to use the furniture structure 20 years ago.,1.0,0.0772,4
10.0,"Employees are the best and are so clean and good.Breakfast is also not gorgeous, but you can enjoy breakfast without burden ~ ^^ It is unfortunate that the sauna is now renewed, but it will be good in the future.",11.0,0.8748,5
7.6,Firm,0.0,0.0,7
9.6,"I felt kind since I checked in, but when I checked out, it's also a good place to finish with kindness.This is 100 % of the doctor!",7.0,0.7463,0
10.0,The staff are kind.,2.0,0.5267,2
9.6,"Best price.Really satisfied.Of course, it is an old facility, but the kindness of employees offsets those inconvenience.",5.0,0.5187,6
10.0,"The landscape of the surrounding promenade was really good.
The internal facilities were clean and the accommodation was satisfactory.",5.0,0.8122,5
10.0,"From the next day, the child suddenly opened, and the cold was caught in a cold and rested in a cafe
Even when I said it was too early
Thanks to Kim Dong -hee, a female employee worryed and upgraded
From the 3rd day, I recovered the condition and booked about 100,000 won on the side of Seongsan.
I just did Kensington's last night!
Mothers with a little over 40 shops including breakfast
I had a filial piety
I will use it at the time
Ocean view was cool and the room was clean.",8.0,0.8977,7
6.0,"You ~ cold lodging !!!
I found a cold day when it was snowing ...
Even though I had a child because I had a child ... Ondol didn't function on the ondol ...
It was cold ...
I asked how I couldn't warm the room, but it was central heating ... I can't help it ...
I really went to play .. There was no cold room for the resort ... I was swearing at dawn ...
But the staff were kind ...",2.0,0.3509,1
9.6,"My family was unable to cancel and left alone in Jeju, but there was an Olle 7 road around the hostel, so it was good to travel alone, and most of all, the black pig BBQ restaurant (unlimited draft beer ... the staff is very kind) and the Ocean ViewBamseom is superb!Even if you go to the promenade even if you go to the promenade, you can see the sunrise and sunset.I'll come again",3.0,0.2588,7
10.0,Recommended as a remodeling room!,2.0,0.2714,0
7.6,It was great,3.0,0.6249,7
6.8,"It's good for 3 units to stay together
However, it is a pity that the cost of unit such as breakfast sauna pool is extra fee.",1.0,0.1779,4
8.0,I will spend a happy time.family trip.Recommended,5.0,0.5719,0
9.6,"It is recommended as a good Jeju resort.The promenade is also really cool and basic.I always use the swimming pool in summer.The snowy snow was also pretty and nice.
It's better to have a delicious Ashley Queen's breakfast.*^^*",15.0,0.9577,0
9.2,"The price was good.It was winter and a lot of cold, but the heating was from 9:30 pm (I turned it at 10 o'clock, but it was cold because it was cold). The living room window was too bad.Except for that, it's good for price",3.0,0.5927,1
10.0,"I used it for six families, and I was able to stay in a clean and clean room because I was assigned to a remodeled room. The toilet is small but generally satisfied.",6.0,0.7506,1
8.0,"It wasn't cold, but it was raining, so I ate cooking it until the evening all evening at the hostel. I used a room that was not remodeled.I used the sofa sofa well. The kitchen and the refrigerator were used in the bathroom.It was cool and exotic right in front of the sea and right in front of the sea, and the breakfast was used for one day, but the Esuli was not big, so the price was a bit unfortunate, but the basic thing was good.This is a bit unfortunate, but before the remodeling room, the rooms will be used and the room will be used after the remodeling.",5.0,-0.5267,1
10.0,"My parents and those three people were used, but I liked the distinction between the rooms.
My dad liked to see Hallasan in the room!
It was good to have a living room
The breakfast buffet was good for Ashley Queen Zura.
It was a pity that I couldn't use the sauna because of the right time.

It wasn't bad for the room, but there was a slight stain in the bed, but it wasn't worrying.

The staff who responded to the front were so kind.
It was a satisfactory accommodation ~~",4.0,0.9837,3
9.6,Good to heal with family,3.0,0.4404,5
10.0,"It is close to Seogwipo tourist attractions and is easy to park
Above all, the accommodation was so clean and nice
It was good enough to think that I wanted to play only at the hostel
It is very recommended for family travelers and 100%",13.0,0.9562,0
10.0,"Accommodation stayed on the 2nd day of 3 nights and 4 days
The price was also the best here.
Next time, the groom will only hold it with Kensington West.
It was renewed and it was very clean and nice ~!",8.0,0.8897,2
10.0,Outlooks and facilities are excellent and good.,6.0,0.765,5
8.0,"It's not a remodeled room, so the room condition is not good.
The toilet structure is also uncomfortable and four adults+two children are a little small.
The staff are so kind and the promenade and the garden are wonderful and the lobby is well decorated.",0.0,0.7399,3
9.2,"A few years ago, I went to Ocean View for two nights this time ㆍ Pyeongsu is great, good view, and walks well.",6.0,0.8442,5
10.0,It was clean and the scenery,2.0,0.4019,5
10.0,very convenient  clean  nice food  and kind staff.,7.0,0.857,2
10.0,It is comfortable and clean and is very accessible to surrounding tourist destinations.,5.0,0.7184,0
8.0,"In Seogwipo, the location was a little west, but it was good for the price.I thought I should come one more time in summer.Breakfast is recommended for those who feel poorly or Korean without any food and no foods or nuts.",-1.0,0.0772,8
10.0,I also upgrade my room and stayed comfortably with my brothers.,2.0,0.4215,2
10.0,"There was also a good thing, so it was easy to eat.",4.0,0.7239,0
10.0,"Four women decide to go to Jeju Island with a sudden unification!I decided to accommodate the plane and stayed, but Kensington's memory, which I stayed two years ago, was not bad.Employees were very friendly, breakfast was clean and tasty, and ROM condition was remodeled much better than two years ago.
The mini bar service was also ate too well.
I was in charge of the reservation to my friends
I heard the hostel at a good price
Now if you go to Jeju
I think I'll make a reservation with Kensing Turn Resort!",6.0,0.976,1
8.8,"There are no pubs that can be simply a drink nearby, but the resort itself is very recommended.
Recently remodeled and clean",3.0,0.6798,0
10.0,I like breakfast.The staff are very kind and kind.Parking is comfortable.It is a place where you can relax.,8.0,0.8439,2
5.6,The parking lot is too narrow and there is no convenience facilities around.The hair is on the floor of the cleaning and just cleans up.It's a swimming pool without a big deal.,0.0,-0.296,4
8.0,"I always use it, so if you go to Seogwipo, you can be cancing!My son liked it so much that it was a satisfying trip.",2.0,0.7263,3
10.0,"I was in a newly renewed hostel and it was so pretty.The garden is pretty, the sea is visible, and I ate at Esuli Queens for dinner.",2.0,0.4939,3
10.0,"Okay, the staff were kind and everything was good",5.0,0.802,2
10.0,It was nice that the staff were quiet and all kinds of kindness.,5.0,0.7003,9
10.0,"The rooms and views were so good, and the staff were friendly.",5.0,0.787,2
6.0,"The room was good for the price, but I think there is a lack of location and additional facilities.",1.0,-0.25,8
9.6,The staff were so kind and the room was so good.,5.0,0.8445,2
10.0,"On the second day, I decided to go to Seogwipo as a lodging, but the room is clean and wide and twin, and the single bed is divided into the room.",2.0,0.5499,2
10.0,"I stayed a day in Kensington Resort Renovation Room.The room condition was good and the staff were so kind.There is also a welcome food (cup ramen and beer), so it was so good and there is a microwave in the room so you can eat food!And the outdoor landscaping was also beautiful, so it was good to walk.There were a lot of family travelers, but I could see why.",16.0,0.8221,3
9.6,"It's a quiet, good view, and it's a good place to heal your family.",6.0,0.7003,9
10.0,"The accommodation was neat and pretty, so I was healing all the time.It was good to go to Seogwipo. There are many convenience stores and various products!",4.0,0.8553,7
10.0,"I stopped by for a while to use Ashley during my last trip to Jeju, and the entire resort such as landscape was so good that I stayed during this trip.I booked only one night and added one more night.When check -in, the staff responded very kindly and even upgraded the room, so I am grateful for being able to stay comfortably and comfortably.I want to stay when I travel to Jeju.",10.0,0.9138,2
