score,comment,afinn_score,vader_score
10.0,"You can walk on foot.Please do it with Ocean View.I can see the sea Seongsan Ilchulbong in the bed.It can be sunrise in the room.Toothpaste toothbrush comb.There is no cotton swab.I give you 2 bottles of water.Shampoo conditioner. Shower gel.I have a shower pincer.It's good because it's not high.It was clean bedding.The floor is a carpet, but no smell and no dust.Breakfast is fine.1 kind.5 kinds of rice, kimchi, nurungji, bread. Salad vegetables. 2 kinds.Gukbap House is near the hostel.Beer house.Meat house.I have a hot house.There are a lot of autographs because the sushi restaurant is famous.I have a small convenience store.",9.0,-0.7077
10.0,"The Deluxe Family Ocean View was 1 night. Seongsan Ilchulbong View was very nice and the room was small, but the breakfast was delicious, the table was also spacing in the restaurant, and the staff was well -maintained.There are a few black pork restaurants in a nearby restaurant (we used a place called Gwangchi Restaurant, but it's okay), and there are many restaurants and many restaurants.It was warm so I had a beer and played a drink.The male employees were a bit uncomfortable.",5.0,0.8956
10.0,"Udo / Seopjikoji / Seongsan Ilchulbong was nearby, so I caught the hostel here.Even if the sunrise peak is in the middle of the sea, I keep seeing it.And the employees were kind and parking was easier than other hotels.",2.0,0.7351
10.0,"I booked a room for Seongsan Ilchulbong.I have been using it well without any inconvenience while being clean, located, and friendly.The room space is a bit small, but there is no inconvenience to use.I have a doctor",-1.0,0.4253
10.0,"It was a random allocation, but I was very satisfied with the low floor king bed.The location is also very good to travel to Seongsan or Eastern.There are Hana Roman Mart, many convenience stores, and bakery.Oh, for reference, it's very delicious!And the room was clean and nice and the staff were kindly helped.The best thing was the price, but I think it's ridiculously at a low price.If you visit this later, it will be used again.",16.0,0.9669
10.0,"First of all, it's okay for the price, including breakfast, and very tidy and good to do it. Like other reviews, the bottom of the carpet is not a problem for us.Except for that, it's all satisfactory for breakfast, but the abalone porridge was delicious, but we didn't have it. Pine Apple was also a canned food.",6.0,0.8936
10.0,"There was a view of Seongsan Ilchulbong Peak at a glance. The staff were friendly and breakfast was more than expected. The parking lot in the hotel was narrow.It was a happy trip because it was spacious, and the condition was clean and I could lie down to see the sunrise!",8.0,0.8718
10.0,"If you stay in the Ocean View, you can see the sunrise at Seongsan Ilchulbong in the room.It was good to relax.There is a convenience store and a market bakery (Bokryong Confectionery Sacred Heart) on the first floor of the hotel, so you can buy snacks comfortably.If you take a city bus, you can go to Seongsan Ilchulbong Seongsan Port in 20 minutes.It was a location where you could feel the sea more and more Jeju than Jeju City or Seogwipo.The express bus stop was also close, so it was good to go to the airport Seogwipo at the end of the trip.",7.0,0.5574
10.0,"I made a reservation for a field allocation, but I was lucky to see if there was a good room left.The staff are all kind and are well equipped.The room is clean and very satisfied for the price.It's close to Udo and it's good to travel east.To find the downside, the bed matrix is not a very good feeling.The parking lot is narrow and should be around.Other than that, there are not many families with children, so it is good to stay with couples, friends, or adult children.Quiet even though it is a polar handwritten.And I didn't expect breakfast, but it was really good.The bread was not good, but the rest of the Korean cereal salad fruit juice coffee and so on were delicious.",24.0,0.9936
9.6,"I had a reservation because I had to go to Seongsan, but I was satisfied with a reservation at a lower price than I thought.It was a view with the sunrise peak, but I couldn't see it well, but it was good.There are many saying that the parking lot is narrow, so I parked underground and couldn't go out in the evening.Instead, I had a CU so I could buy dinner snacks.The staff were kind and the room was clean.Next time I go to Seongsan again, I will visit again!",9.0,0.6779
10.0,"I usually don't know if there are two people, but three people are often ambiguous.But there are three rooms with three single beds, so I think it's good to stay while traveling.The views vary from room to room, but the room I stayed was good to see Seongsan Ilchulbong.",6.0,0.8588
10.0,"It was really good except for the lack of parking spaces for the evening even the evening of the staff, friendly and friendly breakfast.",5.0,0.807
10.0,"My mother, this time, I booked two twin rooms for two people and two people, and I wanted to assign them to the same floor or the same floor.I have a special experience because I can use 2 rooms with 2 rooms.The nearby footbath cafe was also good ~",3.0,0.6808
10.0,"2020.04.21 In the morning, I couldn't break up with Corona.Is it a bitter recognition?Do you want to come again next year?No, I don't know why I'm being terrorist at the hotel here in Naver.I went to the best Seopjikoji than the Bonjola price, and then went to Seongsan Ilchulbong, and then I went to the place where I went to Jeju Island.Thank you for providing accommodation at a good price ~~",6.0,-0.1179
10.0,"The day of the day at the Golden Tulip Hotel was really fun.In the background of the children's rooftops, Seongsan Ilchulbong, the view and swimming pool were so fun that I came to Lee Hotel.The whole family was satisfied, and the young staff working at the rooftop (especially female employees) was so kind!thanked.",12.0,0.8092
10.0,"Kind and neat.There is an electric car insect in the parking lot.The best accessibility.The day was cloudy, I couldn't speak, but I was very satisfied because I could communicate with words.The laundry room PC room bakery restaurant enjoys the water distance",9.0,0.9244
10.0,"The rooftop swimming pool breakfast room is a Golden Tulip Hotel with all good traffic locations.If you stay in Seongsan, 1000%doctor!I'll go again next time!The recommended restaurants are the route restaurant (cutlass).",5.0,0.6467
9.6,Paldal Traffic Restaurant Restaurants are relatively large in Hanaro Mart Seongsan Ilchulbong Beach nearby.It was a little better than the hostel in Seongsan Ilchulbong.The building looked old but was clean and well managed in the room.I want to visit again next time.,5.0,0.8153
10.0,"Kind and good.You gave me a good room to check out early.The room was clean and the hotel itself was neat.However, it was uncomfortable because the floor of the hotel was laid as a carpet.The breakfast is recommended and you should go to the horse meat house nearby.It is a restaurant that I want to go again.",11.0,0.8176
10.0,It was close to the tourist attractions.   Hotel room was clean and cozy.  The breakfast was fantastic.  But  the parking spot was not enough so needed to park at the public health agent which was 5min walking distance.,8.0,0.6187
10.0,"It is a hotel with a good location of the good location that looks at Seongsan Ilchulbong and the sea.Breakfast seems to be the best among the hotels around you.I stayed well.However, at night, I was annoyed by the sound of a woman talking about two hours and throwing things at night.",7.0,0.8126
10.0,"Seongsan Ilchulbong Subjikoji is really in front of the Seongsan Ilchulbong.Even if you go before visiting, I recommend you to go.It was a couple trip, but I preferred the modern style and chose this accommodation.But the satisfaction was really high, and the clean and front desk staff were very careful.I asked for details, but I was kind.However, one thing that was a little unfortunate was a bit uncomfortable because the water of the bathroom was not near the sink.Still, I sleep well for 2 nights and 3 days.thank you",8.0,0.5913
10.0,"It was so good for the room status price. The breakfast was expected to be praised in the late period, but it was worse than I thought.But it's a view restaurant.",3.0,-0.1728
10.0,"I am satisfied with the accommodation for a pleasant trip with my daughter, and the staff are kind and satisfied.",9.0,0.9062
10.0,"Last time, I went to my son with my son, but I had a swimming pool and the morning breakfast was fine for the price, so I visited this family trip again.",2.0,0.296
10.0,Rest good ~ It was good to eat delicious breakfast.The breakfast is great ~ Good value for money ~,15.0,0.9578
10.0,I stayed at Seongsan for 2 days ~ Breakfast is delicious and I swim while watching Seongsan Ilchulbong in the swimming pool.,3.0,0.5719
10.0,"It was a hotel that I found in a hurry after finding a maternity and a lot of bugs and cockroaches.Next time, I'll definitely come back here ??",0.0,0.4696
10.0,"Wow, we recommend that you apply for breakfast!The staff are also kind and satisfied.",10.0,0.9151
8.4,It is good to be a very cheap sweet room and the Seongsan Sunrise Peak View.The bed is so crowded that I'm sorry for the other person ... The heater is very good and warm.,8.0,0.8733
9.2,"It's not big, but I'm satisfied. Location is satisfied.",5.0,0.8126
10.0,I am also satisfied with my parents,2.0,0.4215
10.0,"Clean, cheap, and good location, I am a doctor to go again. Good ~",8.0,0.8176
9.2,"The location is good and the staff is good.Seongsan Sunrise Peak View is also fine.However, the wallpaper and other facilities are seen.",8.0,0.4404
10.0,I like it,2.0,0.3612
10.0,great.I think it's clean and good for the price.The staff were also kind and both were very satisfied.,12.0,0.902
9.6,"The room for the price was comfortable and comfortable.I added breakfast when I checked in, but it was clean and delicious.",9.0,0.8945
9.6,It is recommended because it is good.,5.0,0.5719
9.2,"The parking lot is so narrow, but it's good to sleep at this price.",3.0,0.5927
8.8,Both accessibility and price are good in my own way.,3.0,0.4404
9.6,I will return to Seongsan next time!I stayed comfortably.^^,2.0,0.0
10.0,The Jeju sea was very clean and far away.,2.0,0.4576
10.0,Clean and satisfactory accommodation.,2.0,0.6369
8.0,It was good just to be a view of Seongsan,3.0,0.4404
9.6,"It's been a while since it's been built, but it's good to be located in the middle of Seongsan Ilchulbong Aqua Planet Seopji Koji Seongsan Port.",3.0,0.5927
8.8,"It was hard to park, but the room condition was good and the breakfast was not bad.If you choose the view type well, the view is very good!",2.0,0.8871
10.0,"It was a beach view that was visible right away.I was fine overnight, but I heard the voice next to me.",2.0,0.1027
9.6,"The two -sided glass window allows you to view Seongsan Ilchulbong and the sea in the room.I think you can see the sunrise in the room if you like the day.The bed and bedding were easy to sleep.Breakfast was also delicious.It was the second visit, but I have a doctor.There was a dust on the back of the blinds, excluding one clean star.",8.0,0.7391
7.2,The hair was very stuck in the bathroom shower.,-2.0,-0.3167
7.6,"It's clean and there are a lot of restaurants around, so there's a lot of noise.",2.0,0.4019
6.0,"The satisfaction of the view is the best by making a reservation, but the water lined up in the window, so I had a lot of flies in winter, so I had a lot of flies.It seems to be inexperienced by this management",3.0,0.5499
8.0,Seongsan Ilchulbong is not allocated for system reasons,0.0,0.0
10.0,The location was good and it was so good that there was a famous sashimi restaurant next door,8.0,0.7003
8.8,"There is a little lack of facilities, but the location is good for the tourist destination and the price is good.",4.0,0.8018
10.0,"It's so good at low prices, especially breakfast, breakfast is not envious of the luxury hotel",3.0,0.3906
6.4,It's a pity that there's nothing to eat since the salmon is missing from breakfast.I used it quietly and quiet when I went to Udo.,-4.0,-0.5267
9.6,"It is close to Seongsan Ilchulbong, so the landscape is good in the ocean view and the facilities are really good for the price.",6.0,0.7003
7.6,I use it every time.,0.0,0.0
7.6,"The property is clean and the location is good, but the parking lot is a good price.",8.0,0.7684
10.0,"The location is good and the bed is soft, so it is comfortable.",5.0,0.7553
7.6,"Basically, it is a hotel with some features of Western 4 -star hotels such as the closet carpet floor balcony (veranda) full body mirror, but it has been a long time since it was built.The biggest disadvantage is that despite the parking lot structure and area, even though it is a non -Seongsu, there is no place after dinner, so it is necessary to be built in the public parking lot around.And if you go to the parking lot in the opposite lane, you can not enter right away, and you can enter one round through a narrow alley.(There is one electric car charging station in the hotel.)There is also a convenience store in the lobby!",-5.0,-0.7678
10.0,"This hotel is very good!Sanitary service location price, etc.Rethinking doctors are high.",3.0,0.0
8.0,"It was good to be near Seongsan Ilchulbong, but there was a famous restaurant in Jeju Island.The surroundings are quiet and so good",8.0,0.7003
9.2,"Overall, I am satisfied with the price",2.0,0.4215
9.6,It is the best price ratio for the sunrise with the Seongsan Ilchul Peak View.,3.0,0.6369
4.8,It was so narrow that it was not good,-2.0,-0.3412
7.2,It is a good location to come and go from Seongsan.But the road room is very noisy,2.0,0.228
10.0,"If you go back, 100% doctor",0.0,0.0
2.8,"As soon as I entered, the electric port was not available on the day of the mold.I don't think it will come again if it is at this price.?ㅠ",0.0,0.0
10.0,I'm playing well,0.0,0.4404
5.2,The location is good.But the TV and the breakdown phone are also broken.The front of the front was like that.,4.0,0.3612
10.0,"Seongsan View is cool, good breakfast and good convenience facilities, so I stayed in a good price.",10.0,0.875
9.2,Seongsan Ilchulbong and Jeju Sea are at a glance in the room,0.0,0.0
9.6,"If you visit Seongsan, it is always a hotel.The number of parking is a little uncomfortable due to the small number of parking on the first floor of the hotel and the basement, but there is a public parking lot in about 5 minutes.Golden tulip is a good thing that breakfast is really delicious.",4.0,0.8746
6.8,Taste or Restaurant,0.0,0.0
10.0,The price was cheap and the room was clean and the breakfast was really good.,5.0,0.7089
10.0,The bed is wide and the Seongsan Ilchulbong is clearly visible outside the window. I want to make a reservation again next time !!!,2.0,0.5962
8.8,I tied it a day. I used it cheaply and generally satisfied. It was itchy and it smelled a little while breathing.But it's close to Seongsan Ilchulbong and the Udo is close.,0.0,0.1779
8.0,"The accommodation was good, but nothing special.",3.0,-0.2351
10.0,I used it comfortably.,2.0,0.4215
10.0,The view is awesome,4.0,0.6249
10.0,Advantages of using three friends: The three beds are good.,5.0,0.8176
6.0,It's not very clean.,2.0,-0.3559
6.8,"It is the best luck to be able to eat Seongsan Ilchulbong Peak, which is neat and friendly.",8.0,0.9246
8.4,I think I'll come again if I sleep one day from Seongsan.Seongsan Sunrise Peak View is good.,3.0,0.4404
10.0,"There were many breakfasts, and there were many places to walk around Seongsan, and there were many places to walk around.",0.0,0.0
10.0,There is a convenience store on the accommodation floor and there are many meat restaurants right in front of you ~!,0.0,0.0
4.8,"The parking lot is narrow and the room is small.It's a bit cleaned, so I have hair and it's not good.One good thing is that when I eat breakfast, I was able to eat while watching Seongsan Ilchulbong.",1.0,-0.3412
6.0,Overall is ordinary,0.0,0.0
10.0,The property was good for the price and the veranda was good.There was a restaurant that was available on foot nearby and I rested well.,6.0,0.6124
4.8,"It can be used at an affordable price, but the noise is annoying.",0.0,-0.5499
9.6,Help your check -in well and your room condition is good.,5.0,0.7717
9.6,This hotel is very good on the way from Goseong -ri to Seongsan -ri.The facilities were very good and the staff were very friendly.I feel the best hotel in Seongsan -eup.Highly recommended.,13.0,0.9079
6.4,"The hotel location was so good near Seongsan Ilchulbong.The building is old and mold in the bathroom, and the bed is shaken every time the bed is turned around.The end of the blanket cover was torn, so it was so bad that the lights were blinking and it was dark.If you consider the room condition because of the completely location, there is no doctor's intention to return.",-3.0,-0.6428
9.2,"The location is good, bedding clean, lobby response, is kind and satisfied, but there is a smelly smell.",7.0,0.714
8.0,There was a convenience store right in front of the hostel and the location was good.,3.0,0.4404
10.0,The accommodation is also clean and you can see Seongsan Ilchulbong on the window.The staff was also kind and could stay comfortably,6.0,0.836
7.6,The location was very good.But there was an older feeling than I thought and the bathroom was not clean.There was also mold in every corner.But it was okay for the price.,6.0,0.34
2.4,"1. I can't park it, but I can't deliver it 2. I made a reservation at Agoda, but I can't get a reservation.3. The guide text was not sent out that the phone number was not passed. It is not our fault.It is all the accommodations near this, so that it is a space that only accommodates can be used by the parking control.7. There is no payment for breakfast for two days, so call the front desk.When I went down to the morning of the day, it was a thousand won.11 o'clock the night before.8. It was unkind when calling.I talked about it and answered.I wanted to be very busy, but it wasn't like that 9. No one is sorry for the contents above.I just said that it was.I'm sorry I was talking about this.I was going to record 10. The above nine is just a problem with attitudes and systems.Give me more money and go to the Shilla Hotel",-1.0,-0.9399
8.0,Plumbing water flowing sounds like heating sounds all night long.,2.0,0.3612
7.6,It is a little far from Seongsan Ilchulbong and has little to do around.The employee's response was good.There is no dressing table and the bathroom is narrow.,2.0,-0.296
9.6,"It was located close to Seongsan Ilchulbong, and there were many restaurants nearby. The staff were kind and good.",5.0,0.743
10.0,There are many kinds of breakfast and good to eat with children.I have a breakfast time.,3.0,0.4404
5.2,Wheel out,0.0,0.0
2.4,"Suddenly I wanted to leave, so I made a reservation!It's the first hotel that doesn't have a gown, but it's the first hotel that doesn't have a gown.",-1.0,-0.1007
7.2,It looks like a student,2.0,0.3612
9.2,The location of the hostel is good and you can see Seongsan Ilchulbong at a glance ~~ The price is good and the breakfast is delicious ~~,9.0,0.8591
10.0,This is the best cost -effective hotel,5.0,0.8074
6.4,The room is too narrow,0.0,0.0
8.0,Best price,3.0,0.6369
8.4,"Overall good.It's close to the sunrise peak and it's good to walk Olle trails, and in the evening, the surrounding area is a bit slower.",6.0,0.4404
10.0,"All employees I met were checked in the male staff, and everyone was friendly and the guidance was also informed.It was nice to have a table chair that I could sit and eat.The breakfast can be good and I was able to eat while looking at the Seongsan Ilchulbong Peak, and the restaurant was very good.I'm going to play when I open the pool. Thank you for staying comfortably without any inconvenience.",13.0,0.9494
8.8,"Recommended here if you don't like the crowds of accommodations.It's a little away, but it's easy to access.",5.0,0.5712
9.6,"The exterior looked old like other reviews, but the rooms were well managed. Dan. It was a little narrow to open two trunks.After traveling with a little daughter, it would be good to return to travel ~ ^^",5.0,0.8047
10.0,"The location was good and clean, and the staff were friendly.",7.0,0.8316
5.2,"The building is old, and I can't call the phone and I can't use it again.",0.0,0.0
9.2,I like the view,2.0,0.3612
8.8,"I booked to go to Seongsan Ilchulbong, but the location is good and the staff are kind.",5.0,0.8573
5.6,"The bed is too bad ... No matter how cheap it is, I can't feel the cushion.",-3.0,-0.6808
10.0,Condition Good Good Luft Top is also good,11.0,0.8591
9.6,The disappointment of the accommodation the day before was so bad that it was so good that it was good to buy it at the lowest price in Agoda.The hotel breakfast was also very satisfactory.I'll use it again next time,0.0,-0.4421
8.0,"It's close to Seongsan, so it's good to travel to Udo, and there's also a light beach around.",3.0,0.4902
6.8,Cigarettes come out of the room .. (It's a non -smoker ..) It's not bad for the amount.,-3.0,0.431
8.8,It's okay for the price,0.0,0.2263
10.0,"In the center of Seongsan, the convenience of the restaurant is close and the new building is comfortable.",2.0,0.5106
10.0,"Stayed in December, a low season.Best price.In particular, breakfast is recommended, but there is a restaurant nearby.",5.0,-0.0387
7.6,I booked to go to Seongsan with Udo.,0.0,0.0
10.0,"I ate breakfast with breakfast for two nights, and I ate it at the hostel.",0.0,0.0
8.8,"There are many restaurants around, and the view of Seongsan Ilchulbong is also good ....",3.0,0.4404
9.2,This is a reservation booked to see the Seongsan Sunrise Peak View.It was right for the price and it was fine because there were quite a few places to eat nearby.,2.0,0.2023
8.8,It is good to use when traveling to Seongsan.Seongsan Ilchulbong Aqua Planet is all close.There was also a convenience store inside the hotel.The hostel was clean ~,5.0,0.6808
8.0,"It was a pity that the parking seat was not enough, and there was a sunrise because there was a climb nearby.It was comfortable to rent wine glass in the lobby and the room was small but not bad to stay.",-5.0,0.657
9.6,"It was so good that I could see Seongsan Ilchulbong.The distance is close.It was good to go nearby.However, it was hard at night because of the noise.When I asked the staff, it was a sounding sound, but it might be a little difficult for people to be sensitive to the sound, but I saw the breakfast buffet and it disappeared.Breakfast buffet was so good.The vegetables were fresh, the number of branches, and the Korean style dessert was good.",10.0,0.8818
10.0,The room itself is narrow but the view is good!Seongsan Ilchulbong is so good that I feel good in the morning.,9.0,0.9103
6.8,"Bedding clean .. Bathroom clean .. But ... the bathroom bathroom ventilator?The sound of the sound of the sound of the air conditioner is also large, so the temperature is lowered and turned off and the TV is turned off.There is a TV in front of the bed, but if you move around, it is inconvenient to go to the window because you keep your TV on your shoulder.",2.0,-0.2846
8.0,"It's clean and soft, but every time I turn the next person, I shake together, so it's a bit uncomfortable and the parking is a bit uncomfortable.Hygiene is good and inexpensive and convenient for convenience stores on the first floor.I stayed on the road on the 6th floor and it was noisy.",0.0,-0.295
6.8,It was quiet and good location,3.0,0.4404
10.0,Clean.,2.0,0.4019
7.6,It is pleasant when business trips ~,3.0,0.5106
7.6,"It is possible to appreciate the sunset of the ribs near Seongsan Ilchulbong, and I like the small but fruitful interior.",4.0,0.3818
10.0,The price of the price for the price and the kindness of the employees was excellent.,5.0,0.7717
3.2,"Fortunately for a day, I couldn't sleep in the shaking bed, and the bed was worse than the guest house, and it was so ridiculous that I used Alba all the reviews.Not even",-4.0,-0.793
8.0,Neat and good,3.0,0.7096
10.0,The accommodation was also clean and good,5.0,0.6808
9.2,"I used it on weekdays and went very cheap.The facilities were not bad and the room was not too small!There were many restaurants around!The room was too warm, but it was a pity that there was no warm water in the morning.",-4.0,-0.3525
8.8,It was good to see the Seongsan Ilchulbong View and the breakfast was delicious.,6.0,0.765
8.0,"The location is good and the lodging is good. However, one breakfast is not recommended.",8.0,0.6379
9.6,"Seongsan is a good area to rest in Jeju.This hotel is all good, but there is a lack of a building parking lot space. Free parking is possible in the health center nearby.",5.0,0.6597
8.0,The bed metris was not good and it wasn't the toilet hygienic.,-2.0,-0.3412
8.4,"It wasn't enough to open the basic room carrier, but the bedding was comfortable.The bathroom has a bidet and a small table in the room.I had a good breakfast composition for two days.",5.0,0.5927
9.2,The location is good.Seongsan Ilchulbong is visible and close to Gwangchigi Beach.I rest well.,3.0,0.2732
8.4,"The price is cheap, the location is good and the facilities are not bad",0.0,0.6956
5.2,"It was 100,000 won for one night, but the bedding was too uncomfortable ... my back was so painful that it was too hard.It was convenient because there was a convenience store inside!Restaurant delivery was also possible nearby!",-2.0,-0.8292
6.4,It's just a good location before going to Udo.,3.0,0.4404
8.8,"My friends and the three visited, but the price is great !!There is a convenience store in the hotel and the water pressure is also good !! I used it for a sushi restaurant or a bakery mart near the hostel, and the pillow is provided one by one per person, but it was too soft to see the walls on the wall, and there is no OTT service on TV.",4.0,0.8449
8.4,"I've used it a few times, but this time it was the first time.",0.0,0.0
10.0,"It's quiet, so I have been relaxing well.",0.0,0.6771
10.0,4 Family Family Twin Ball Breakfast is also good to eat.,3.0,0.4404
9.2,"I used a family double twin room, but I would rather catch two rooms that I could use. There was not much difference between the price, and the room condition was 4 or 2 people.The accommodation was clean and good.Couple travelers are recommended, but it's just a family trip.",7.0,0.6956
9.2,It is a good place to see Seongsan Ilchulbong Peak. There are many restaurants cafes nearby.,3.0,0.4404
9.2,It is more quiet and convenient than the accommodation in front of Seongsan Ilchulbong.,0.0,0.0
9.2,It's hard to solve the trip because it's narrow ^^ ;;,0.0,0.1027
10.0,It was nice to meet my schedule,3.0,0.4215
8.4,I upgraded with Deluxe Ocean View.The view was so good because it was a high floor and the size was appropriate and clean.It was so good that I went to Seongsan Ilchulbong and went to the taste of Seongsan Ilchulbong.Breakfast was also good.I want to come to the wall because it is good.,17.0,0.9104
8.0,It is good to spend one day in Seongsan.,3.0,0.4404
10.0,Good value for money and breakfast is also okay,3.0,0.7351
9.6,The scenery is an art.It's better because it's quiet.,2.0,0.4404
10.0,Good for price,3.0,0.4404
4.4,"The smell of worry and the toiletries of the toiletries, the dry coffee is just outside the window.",-3.0,-0.4404
10.0,The breakfast is especially delicious for the view of Seongsan Ilchulbong Peak.,3.0,0.6115
9.2,"Advantages: Bedding was clean and hygienic such as bathrooms.Breakfast is excellent for the price.It is very convenient because there is a CU on the first floor.Disadvantages: It's a bit uncomfortable with traffic or traffic.If the floor is a carpet, it seems to be a sensitive personality.However, there is a place to park around",5.0,0.743
8.4,Golden tulip is every time you go to Jeju. The music breakfast is delicious.I'm going to sleep ~,3.0,0.0
8.4,I stayed in my parents' trip. You said it's delicious.It's neat,3.0,0.4588
8.0,The location of Seongsan is good and the breakfast is delicious.I'll go again next time ~~,6.0,0.4404
9.2,The landscape of eating breakfast is also good ~,3.0,0.4404
5.6,"You can see the sunrise in the room (although there are differences depending on the room).Next time I'm going to catch the city.When the hotel comes in, there is no place to go around",-1.0,-0.296
10.0,The location was good and the facilities were clean and nice,8.0,0.8126
9.6,Seopjikoji or Seongsan Ilchulbong is good and Starbucks DT is also close to it.,3.0,0.4404
8.8,Excellent view for the price,3.0,0.5719
9.6,Seongsan Sunrise Peak View is wonderful!Breakfast is good.It is especially recommended for those who are on a family trip.Thank you for your friendly response.,13.0,0.6793
10.0,The breakfast is so delicious and the sunrise rod viewed by the breakfast is so good,6.0,0.8585
7.6,"If you travel to Seongsan Sunrise Peak, it's not bad!Above all, the breakfast was very delicious!",0.0,0.6785
7.6,The breakfast was the best and satisfied with the price.,5.0,0.7906
10.0,Good price,3.0,0.4404
6.8,Will it come out early after sleeping a day?I caught the hostel in an affordable place .. Um .. It smells like a toilet sewer.There is a lot of old feelings in terms of facility .. The staff were kind ~,6.0,0.7096
9.6,Good breakfast to use with family,3.0,0.4404
10.0,I chose because of the swimming pool.,0.0,0.0
10.0,The room is awesome by the view of Seongsan Ilchulbong!,4.0,0.6588
9.2,It seems that there is a little noise between Wang Good ??,3.0,0.504
10.0,I use it every time I come to Seongsan.,0.0,0.0
7.6,"The review was so good that I made a reservation, but when I showered in the shower room, I had to keep my towel on the door.The soundproofing was not better than I thought.",5.0,-0.1873
7.2,"Since Jeju is so expensive, it is not easy to catch the accommodation, but my mother wanted to have a breakfast.I forgot to break breakfast and came down at 10:35 to eat breakfast.I was in a hurry and I was in a hurry that day, and I was tired and hard ... ?ㅠ It's late for 5 minutes, but my mother said it wasn't too stubborn, so my mother was in a hurry.It would have been nice to have to tell you to go to 11 o'clock, but it was a pity.",-4.0,-0.3326
8.8,"A very good location where you can see Seongsan Ilchulbong.There are famous coffee shops and restaurants around the hotel, and there are many restaurants and cafes that are worth going 10 minutes by car.There is only one needed indoors and no disposable items, but the convenience store is on the first floor.I went to the rooftop swimming pool with my child at night, and the atmosphere was good and I had a beach towel.It is better to use Seongsan Ilchulbong. It would be better to use it during the day.Overall, the room is clean, but there is no basket to put a towel that is used to use the toilet silicone cleanliness.",14.0,0.9402
8.4,"Golden Tulip Seongsan Branch is a view.It was great to have breakfast while watching Seongsan Ilchulbong and Sea View!If you come with your family and lovers, it seems to be more and more love.",6.0,0.9267
10.0,"It's spacious, clean and good breakfast.",6.0,0.6808
