score,comment,afinn_score,vader_score,k10
10.0,"It's a good place to walk after breakfast. Lobby bakery is also famous and the kindness of the staff is the best. The room is also good. I want to stay again.There was no inconvenience to go up and down the stairs with the carrier because there was no room on the floor.
The advantage is that it must be improved.
It is urgent to replace the refrigerator with a new one and make a partition in the bed and kitchen.
Other than that, parking was also good and the bedding was good.
I have a sofa so I can share the chat, so I chose it.
I would like to compliment the staff and be kind.
It's a pity that I couldn't memorize my name ~~",22.0,0.9808,8
10.0,"I came to my family with my parents and rested well. The location was good, the room was wide, clean and nice. The view was good, so it was so good that I was lying on the couch.There was a black pork house on a two -story building on a five -minute walk, but it was so delicious that I didn't have to drive, so I could have dinner and have a drink.",17.0,0.9269,2
10.0,"I had a mother who was insignificant and always kept her mother, and she set her first accommodation on Jeju's trip to the Kensington Resort.Reception's kindness guide to the room and the room and the room.The sea and nature coming through the window.It was a beautiful day where everyone was satisfied with the quiet promenade behind the hotel.I don't know when I will come back with my parents, but I'm so happy that I rested so comfortably.",10.0,0.953,3
10.0,"It was the best hotel.
It was newly remodeled and clean and not carpet.
There is no elevator, but it is not complicated with a low -rise structure, and the lobby coffee shop is open to the sea view, so I would like to recommend it to family travelers who want to enjoy a quiet recreation.
The room is spacious and simple kitchen sofas and dining tables are also convenient.
With bright rooms and sea views, you can see the sea all day without curtains in the room.
There are not many types of breakfast, but it was clean and delicious for the price.",17.0,0.9839,4
10.0,"Remodeling now
It's been a while since it's been a new hotel, and it's very wide in the Jungmun Ocean view.
I recommend it",2.0,0.3612,4
10.0,"This hotel has been relaxing for 3 nights and 4 days ^^
It was a comfortable queen bed, so I was able to sleep comfortably with my mom and it was better for Ocean View!
I thought it was uncomfortable because the room entrance was narrow later, but it was a bit uncomfortable because it was really narrow ^^;
The promenade was so good that it was great to be able to relax and heal!
And I really liked breakfast ~
The food was all delicious overall ~
My mom had 3 dishes every morning
It's a very satisfactory hotel!
The staff are all kind and this is a hotel that I want to come back when I come to Jeju next time ^^",16.0,0.9901,1
10.0,"I stayed for 2 nights because of the anniversary during my trip to Jeju, but I'm so satisfied with it ?ㅎ The first day was a little unfortunate because it was raining.I am satisfied with the important mattress sleep.",6.0,0.8587,6
10.0,"During the Chuseok holiday, I stayed for two nights with my family at Kensington Resort, and I was friendly :) The rooms were large and wide, so the four -family family was enough to stay and the bed was comfortable.There is also a kitchen and a refrigerator, so it was easy to eat.The overall cleanliness of the room was also very good. The view was also healed throughout the sea.We used breakfast and used it, but it was good for the price and delicious!At first, my family is satisfied with all the accommodations, so if you come to Jeju Island on the wall, we will visit again :)",16.0,0.9657,6
10.0,"After all, it's a resort that doesn't disappoint
As soon as you first enter, the check -in counter staff welcomes you so kindly, and even if I don't know it well, it explains slowly, the bedding condition is too clean, the bed is so comfortable, the room is spacious and too recommended.
The breakfast was so delicious, clean and good
If there is something to come to Jeju Island again, I will stay again ^^",15.0,0.9769,3
10.0,"It looked a little old after seeing the exterior of the hotel, but I felt so nice and kind in the lobby.I lent the tube and life jacket for free from the swimming pool to play comfortably.Breakfast is also dressed up, so it's so comfortable to eat.Wherever I go, the staff members are so kind and warm, making it a more pleasant trip.thank you",16.0,0.9909,9
10.0,"I didn't expect much because it was a remodeling of the old resort in Jungmun, but it was better than I thought from the exterior of the accommodation.The best bathroom was modern and a spacious and comfortable bed.
The best thing was the view.I prayed that the old resort from the early days of Jungmun was the best position.

I want to come again next time.",15.0,0.9836,4
10.0,"The location also included a promenade and it was so good that it was located in the Chinese gate.
The staff were also kind.
There were not many kinds of breakfast menu, but there was no menu.However, the resort with a bakery, but the bread in the breakfast was not very high.

But it's a great resort to stay overall.",7.0,0.8137,9
10.0,"I expected it to be remodeled.
After all, the hotel condition was good and the staff were very friendly.
The family was satisfied with the family, and the breakfast was more than the price.
I'm going to visit the next trip.
There was a review that the entrance was a bit narrow.We've been without any inconvenience at all ^^",5.0,0.8835,6
10.0,If you are thinking about the Jungmun Hotel in Jeju Island.,0.0,0.0,3
10.0,"It was pleasant and comfortable for a four -family trip to two doubles and two spacious sofas and a free space.Renovation, all room swimming pool lobby, and people are not crowded because they are not crowded and have been enjoyed.",7.0,0.9231,6
10.0,"- [] Temperature control is simple because it is individual heating
- [] Ocean view is beauty
- [] Catering tools are well equipped
- [] Morning buffet neat and different kinds of fun every day
- [] The promenade is well established to the colored beach, so you can walk comfortably
- [] Convenient tourism
- [] Replacement of daily sheet towels, etc.
- [] Employees' kindness",11.0,0.959,4
10.0,It's a great place to go with your child. It's kind and good room condition.,8.0,0.886,8
10.0,"The room was spacious and the space for the living room was good.It was good for the staff to be kind.The view was so good and the promenade was so good that I really wanted to stay more.If you go next time, I am willing to use it again.However, it would be nice if the electric car charging station will be completed as soon as possible.",18.0,0.8885,2
10.0,"I have never been satisfied with the service this way when I visit Jeju many times.
The staff were so kind and the remodeling of the internal facility was really clean and the breakfast was satisfied.Bakery Good
I want to return to the next family trip.",12.0,0.8492,6
10.0,"The accommodation was clean and comfortable.
I was able to enjoy the beautiful night view of Jeju Island by giving a sea view room.The breakfast menu is also good, so I ate well.I am satisfied.",14.0,0.9648,3
10.0,"I came to a three -person family trip, but so comfortable and clean
Breaking up
First of all, the location was also located on the Jungmun tourist complex, and the inside of the room was too clean.
The staff are also friendly, so I'm resting well. Thank you.",10.0,0.9784,8
10.0,"Adam is not big.It's quiet and came.
Advantages
Employees are kind.Resort Bakery Good.One day in the morning with a sandwich in the morning.I don't have much breakfast for me.View restaurant.If you go out, you can go on a color beach.You can also walk on a pub called The Cliff, a hot Buck Jungmun.There are many restaurants around.
disadvantage.The entrance and shoe racks are too narrow and outlet.
But there are more advantages ... I recommend it.",10.0,0.8436,5
10.0,"Like the children, it was more difficult to accommodate the city, but the bedding was good and the room was very large.I went on the day, so I quickly learned and went to the best price.The staff's response was so good and the family was so comfortable.
It's a great place to go with your family.
I would like to go when the swimming pool is opened in the summer.I send a little opinion that the parking lot is a little wider back and forth.??I was in the middle of it, but it was hard ^^; Still, the dense area of convenience facilities was in front of the nose and it was so good.I think it's good to have a little tip.I rested well in many ways and came well.",22.0,0.9903,2
10.0,"Day 1 was Jeju Shilla Hotel.
I came to Kensington on the second day and gave me a letter from the front of the front and written as a handwriting.Together with my wife, I said that this is much better than the Shilla Hotel.There were two beds.Most of the accommodations with my wife were one bed, but two were also good.And it was very nice to have a cafe and a convenience store on the first floor.It was really good to have a very convenient amendment to stay.The next time the couple is traveling, he said he wants to stay here for three days.I bought a mackerel sashimi because I drove for 20 minutes to Mosulpo.It was the best resort among the high -end lodgings for about 300,000 won per night.",17.0,0.9727,2
10.0,"The facility itself was flat, but it was convenient because it was near the large event.The sandwich on the first floor is delicious",3.0,0.7227,0
10.0,"It was good to stay in the ocean view and enjoy the morning while watching the cool and beautiful sea.The price was reasonable and the room condition was clean, so four families were able to relax quietly and comfortably.Employees' response was also kind.Press the recommendation ~ ^^",15.0,0.9509,4
10.0,"I came with my child for 48 months, but I'm really good at resting ~ ^^
The quality of breakfast is not so bad and the bed is comfortable.
If you open the room door, the entrance is narrow.",4.0,0.9394,1
10.0,"This time, I was newly remodeled, so I had a clean room and furniture, and most of all, I liked the microwave and cooking in the room.The bakery is also delicious and the staff are also very happy, so I was so satisfied with the whole ^^ If you open a swimming pool next summer, I'll come again ~~ It was a perfect journey thanks to the accommodation ??Return doctor 100",17.0,0.9767,1
8.0,"Since I checked in, I felt better with good fragrance and kindness.We didn't have to cook, but I simply had a cooking facility and a microwave and even a capsule coffee machine ~ I want to see if the room condition was perfect for the children's tastes ~ ^^",11.0,0.8555,0
9.6,"Four adults were used, but the room and bed were wide and the prospects were beautiful.Until check -in and checked out, I was able to relax around the hotel and around.",4.0,0.7684,1
9.2,"Good for family trips
I like the view
I've been resting well",5.0,0.7579,6
9.2,"I've been resting well for my family trip
I used it comfortably
I have a doctor",2.0,0.5994,6
8.4,"It was very good because it was remodeled cleanly.By the way ... If you are not comfortable because there is no elevator, please refer to the elderly.",5.0,0.1508,2
10.0,"This trip to Jeju was used only as an airport bus without a separate vehicle.
Transportation: The airport bus stopped in front of the hostel, so it was so comfortable
Olle 8 -gil (the most beautiful coastal road) was connected from Kensington Jungmun.
Lodges: The accommodation mattress was so comfortable and good and it was good to be with the child.
Breakfast: Breakfast was more disappointed than I thought.
It was good to have a variety of bread because of the bakery, but the Korean food was weak and the Korean food was weak.It's just the price.
Nearby tourist destinations: Jungmun has been built as a tourist complex from the past, so it was too easy to use without a separate vehicle.
It was a pleasant trip.",13.0,0.9311,6
6.8,It was clean and nice to go inside than the exterior of the building ~!,5.0,0.6996,4
9.6,"It looks old, but inside is clean.Breakfast is fine.I was almost in the hostel because of my eyes, but I have nothing to do.There is a karaoke room, but it is dark and there are no passengers.The coffee shops and bakery were excellent and the price was good.",9.0,0.7964,4
8.4,"Jeju's weather is warm
It seems that the connection between the surrounding Olle trails is good",4.0,0.5859,7
8.8,The joy of traveling in the wonderful view of the sea and the table sofa were easy to eat and eat outside food.,8.0,0.886,1
10.0,"It would be good to be able to eat resort.
It was the same. We used breakfast for 1 night, but the view was good and the food was good.
Remodeling and cleaning and viewing in the hostel is the best.
It's good to arrange the furniture, so you can clean up your travel luggage.",17.0,0.9757,4
10.0,"Best price.Breakfast is.Although there are few types, it is full and delicious and awesome ?",10.0,0.9186,1
10.0,"I sent you my parents, but it was good ~ ^^",3.0,0.5927,2
10.0,"Despite the late time, the support of the guide desk, who was welcomed, was kindly and took care of the guide and rested it comfortably!",8.0,0.9273,1
10.0,"I traveled to my dad and it was good to be able to take a walk!There is also a pork belly restaurant nearby, so I solved it well!The resort atmosphere was also very good at night !!",7.0,0.8661,2
10.0,"I want to use it again
reason)
1. The bed and the room are clean
2. I ironed the bed curv set (no worry at all)
3. The best breakfast.I've been to a lot of trips, but it's so delicious and nutritious.
4. There were a lot of coffee and bread
Apple Bread Tangerine Bread Beautiful and Pretty
5. Lobby interior is clean
I was impressed by the tangerine tree
6. Electric stoves and microwavezuizers refrigerators so that they can eat simple meals ~~
7. The dark night view seemed to have moved Hawaii
The staff kindness is nagging to say
There are a lot of advantages, but I'll stop

Please stay in person and try it
The picture sleeps and gets up and clicks on it.

If it didn't rain, I wanted to swim, but I was sorry",15.0,0.9863,4
10.0,"I visited my first trip with my girlfriend, but the facility room condition was very satisfying and the scenery was pretty enough to feel for a trip abroad!If you come to Jungmun next time, I will visit again!",1.0,0.884,0
9.2,"It would be better to come by family unit, and it is a pity that it is not soundproofing.",0.0,0.1779,6
8.8,"There is a good view of the coast, there is a promenade, and everyone likes it.",5.0,0.6908,2
9.6,The accommodation was good and both the foreground and the promenade were satisfied.,5.0,0.6908,6
7.6,It is in good condition.,3.0,0.4404,2
4.4,"I traveled with my family, but I didn't feel good because of the accommodation.
I booked a non -smoking room, and the hotel is also called Nonsmoking Room.
It smells like a cigarette in the room.
I asked the hotel to replace the room, but if I talked again tomorrow, I couldn't change it to see the room situation at that time. I used it last year.",5.0,0.0364,1
9.6,"I went to my mom, but it was a pity that the pool was under construction, but the room was very good and very good.",4.0,0.7769,2
7.6,"Located in Jungmun, it's so good for location!
However, the building is so aging that it is a little bit of family trip ..!",3.0,0.6514,6
10.0,It was clean and good breakfast.,5.0,0.6808,7
9.2,"I was relaxing with my friends
It's not good for breakfast and delicious ~",1.0,0.8222,1
9.6,"It was all good.
But when I was breakfast, I followed the water in the cup, but like aloe juice, the water was cloudy and full of foreign objects, so I changed the bucket.
The water is also like that, but I wanted to die.
It was all good except that.",7.0,0.714,3
10.0,I rest well.It was wide and comfortable because it was remodeled,2.0,0.5106,6
10.0,"Quiet, stiff, promenade was good and good",6.0,0.7003,2
10.0,It's a very good accommodation for the price.,3.0,0.4927,3
10.0,"Cancillon Jungmun used with friends and Jeju on the second day of Jeju
It was quiet in the sea view, clean inside, and had breakfast.",2.0,0.7003,3
8.0,"I'm satisfied, so I want to go next time",3.0,0.5486,6
7.2,"The room is spacious, so it's good to stay comfortably.",6.0,0.7165,2
8.4,It is good to stay comfortably in the family.,5.0,0.6908,6
10.0,"Four acquaintances used 2 nights, but the bed was so good that I had a good breakfast, I had a good breakfast, swimming, clean and so good.",14.0,0.9798,2
9.6,"The room is spacious, the pool is a good breakfast and a good break with the child.I will visit again next time;I recommend it",9.0,0.8074,5
9.2,"It's quiet because it's quiet and there's not a lot of people.The price is good and it's about 40 minutes from the airport, but it was easy to travel elsewhere.",4.0,0.7003,2
9.2,"A spacious room with two family -sized beds and a cleanly remodeled room.It was clean, cleaned every day, and the system air conditioner performance was good.The clean and comfortable part was good.It was also good that four families used the buffet of breakfast.Highly recommended.",18.0,0.9081,1
7.2,"clean.I like the walkway.
It was a pity that there was no additional facilities, but it was not narrow to tie the family.",1.0,-0.1154,7
10.0,"The accommodation was good, and the staff were also friendly and satisfactory.
I will visit you next time!",5.0,0.8356,8
7.6,The room condition was fine and the breakfast was delicious ~,5.0,0.6705,1
10.0,Ocean View is so good and the best.,6.0,0.8377,4
10.0,The location is good and the interior interior reversal is attractive than the exterior. It was clean and fragrant.,7.0,0.8176,8
6.8,"The view is good and the breakfast is good
The cleaning condition was good.
It is scheduled to return.",9.0,0.8271,2
8.0,"Located in Jungmun, it was good to stay quietly.The pool was not as spacious and there were not many hotel facilities, but the accommodation was really clean and comfortable.",8.0,0.8953,2
10.0,The bed sofa is wide and the promenade to the colored beach is also recommended.,2.0,0.2023,4
8.4,"It was quiet and convenient.However, I told you to the staff because there was a fungus on the air conditioner, and I was wiped out while I went out, but from the moment I saw it, I kept thinking about the filter..After staying, I have a cold, but I keep thinking about air conditioning.I didn't have an apology when I checked out.",-1.0,-0.0572,2
10.0,A family of four and six years old with two and six -year -olds had the best vacation.,3.0,0.6369,6
9.6,"Rest at a good price, including ticket breakfast.The appearance is a bit old, but the interior is comfortable after remodeling.
It is small but there is a swimming pool and it is not crowded.I was able to choose from a nearby tourist destination ticket.The breakfast is small, but there is only something to eat.The price is also reasonable ~ It's small, so there may be atmospheres in the peak season..There is also an event that provides medium or citrus juice if you write a review.As you only know some employees??
It's good to have a stay in the accommodation, but if you have more outlets.It was a bit uncomfortable because it wasn't near the table.",6.0,0.8025,1
9.6,"There is a small pool in the Jungmun and a small swimming pool, and it was fine for the price ~ It was a little unfortunate that there was no elevator, but it was a small accommodation.",1.0,-0.2625,1
8.8,It was a clean and satisfactory stay,2.0,0.6369,4
10.0,"Wow ~~ This is my favorite accommodation on this trip ^^ I will stay again next time I travel to Jeju Island ~~ The surrounding business is good ~~
The neat two children were the best ~~",12.0,0.9509,3
7.2,"The building looked a bit old, but the room was clean and spacious, so it was pleasant. The bathroom was clean, the towel was generous and clean, so I used it without any inconvenience.It's the manual that's the manual.",10.0,0.968,4
8.8,"Very clean and the staff were kind.

The beach was close, but it was a little far to go with my child, and to buy a lunch dinner, I had to go out of the resort or deliver it.",4.0,0.4933,9
9.2,"While staying with my friends for two days, I was comfortable and the outlook was good.",5.0,0.8519,2
10.0,"The price is good, the breakfast is good and the hygiene is good ~ ^^ There is no elevator, so there is a disadvantage of going up and going up.",6.0,0.5325,2
4.8,"It was the first hostel with my family with my first trip to Jeju Island
Leave the worst memory.
Check -in around 6 o'clock.As soon as I entered the room, I thought it was breathtaking.
I didn't check the room before coming, but it will be cool when I turn on the air conditioner.The room is not cool for 10 o'clock at night.I gave up and I had to go on the next day, so I lying down, but I couldn't sleep because it was hot at dawn so that my family was heating in the room.I just fell asleep because the other room couldn't move.Toilet Moon Dragon Sound.
It's too angry to choose a hotel that doesn't even check the basic room condition.
I'll never stay again in Kensington ... it's my fault",0.0,-0.8957,1
6.8,"For 3 nights and four days, I asked to empty the garbage every morning, but it did not empty until I left.",-3.0,-0.3818,2
6.0,"The hygiene of the hotel is clean and spacious, so it's good to use it for a family unit, and I think it's not bad because it's in the La Resort complex.The explanation was not enough.",3.0,0.8284,6
10.0,Location cleanliness was satisfied with both interior breakfast.,2.0,0.4215,6
9.2,"If you have a good and sensitive sound of the refrigerator compared to the room condition price, you can continue to worry about the other things.",0.0,0.0,1
10.0,"Breakfast neat !!It was easy to use convenience stores, and most of all, it was comfortable and there were a lot of family users.I will be satisfied with the family and I will visit again next time.",5.0,0.9115,6
9.2,"It was so good, but it was a pity that the pool was under construction and I didn't have to eat.",1.0,-0.1102,2
9.2,"The property is clean, spacious and good
However, there is a lot of dust as if there is no cleaning at all on the toilet outlet lid and the other parts are clean.
It was a pity that it was under construction, but it was very satisfied with the clean clean itself!
Breakfast was also delicious for the price.",14.0,0.964,7
8.8,The location was good and the walkway was so good ~~ The staff were so friendly and the room condition was not bad ~~,5.0,0.9147,8
8.0,"The hotel room is spacious and good
However, there is an additional cost of towels and a taste of breakfast but not varied.
I have a doctor for re -visiting next time",4.0,0.2382,1
7.6,It was a trip to Jeju with 3 seconds and 6 as a family trip.It was good because it was pleasant and clean,8.0,0.836,6
10.0,View traffic accessibility hygiene operation.All best,3.0,0.6369,4
10.0,"The breakfast is really good.My American friends
I don't eat well, but I ate two poems.There's nothing useless and I want to eat.And it was nice because the room was wide.",5.0,0.7986,1
10.0,Firm,0.0,0.0,2
10.0,"It is wide, clean and recommended",4.0,0.5423,4
9.6,"I went to my parents, but I was a little unfortunate because I didn't have an elibet, but I'm satisfied ~",2.0,0.036,6
10.0,"It's a view restaurant, and the staff are also friendly!
The breakfast was also good to come out as a healthy food.",7.0,0.8439,8
9.2,"The room was good and the breakfast was delicious, so I ate well with the children.I couldn't take a walk because it was raining, but I wish I had a chance next time!",9.0,0.8842,1
9.6,The location and view of the resort were very good for the price.It was nice to have a room and a simple kitchen in the room.The staff were also kind.Very recommended.,10.0,0.7778,9
9.2,"The view is also good for a large size room
The staff are also very friendly
Unfortunately, the breakfast place is generally satisfied except for the narrow point.",7.0,0.759,8
10.0,"I really liked the colored beach view in the room ~
The beaches are good on the promenade, so I walked in the morning.",5.0,0.7178,2
6.8,"I rested well for 2 nights and 3 days ~
Breakfast was also good for the price ~~
However, I knew whether it was used to use the pool, so I didn't know if it was opened only in summer.
Because I didn't recognize it well,
The swimming pool is also good if it can be used regardless of the season.
It was clean. But it was a bit unfortunate to clean the bathroom.
4 The bed was also spacious and good for using the family. I think I'll use it again next time.",14.0,0.85,2
9.6,The front male staff were so kind and the room condition was good :),5.0,0.8825,9
8.4,"It was clean, quiet, and the breakfast was delicious
The service was good and friendly

However, in the location, insects such as Paris appear and the soundproofing is not a little.",10.0,0.91,8
6.0,"Three adults with pediatrics were 2 nights
Once in the room, it smells
It was an unpleasant smell that was difficult to conclude with any smell
And the bedding felt damply
Bedding and towels also vibrate the smell of rocks.
And soundproofing and floor noise were the worst
I was surprised that the upper floor guests rang naked.",-6.0,-0.8316,1
8.4,"It was easy to use a four -person family.It was stated that it was a double bed, but it was a queen size and a sofa.",1.0,0.2382,1
10.0,"It was recently remodeled, so the room was clean and the bathroom was good.
You can lie in bed and see the sea, and there are promenades that lead to the sea, so your parents were very satisfied.",7.0,0.8268,4
9.6,"I visited Kensington Jungmun as a place to soothe my depressed mind while looking for a place to tie more a day.Even though it rained a lot, the view soothe.Pleasant beddings and shower rooms (there were separate baths and shower), and it was easy to cook, and there were two spacious beds because it was comfortable.I wanted to sleep with my mom (10 years old), but I liked it because I could sleep together.
The light came in at night.The curtain was not a perfect blackout, so it took me to sleep, but the bed was easy to sleep.",17.0,0.6253,1
9.2,"Once you don't borrow the pension in Jeju's four -person lodgings, it's not easy to find this area, but it's hidden in the trees, but the Ocean Views are good.",4.0,0.4848,4
8.8,"It was a remodeled room, so it was clean and spacious for four families.
It was especially good because the sofa was wide.
The toothbrush was paid only on the first day. I'm glad to take it in advance, but ... I think it would be better to explain it in advance.",11.0,0.8372,4
10.0,The surrounding environment is so good!My parents liked it so much !!!,5.0,0.6407,7
10.0,"I'm going to go again
The building is old, but good",3.0,0.5927,2
10.0,"The trip was short, so I had to check in late in the evening and check out early in the morning, so I couldn't feel more comfortable and scenery.",2.0,-0.4439,6
10.0,I was very satisfied with the cleanliness of the price for the price.,2.0,0.4754,6
9.6,"The very kind is the memorable accommodation.
Shortly after remodeling, I was satisfied with the inside of the room.
The breakfast was small but good and the accommodation was small, so there was a lack of additional facilities.
However, the walk around was good and it was a satisfactory accommodation in many ways.",9.0,0.8968,3
10.0,"It was nice to stay.
The walk and the beach in front were so good.The staff were kind and breakfast was good.",11.0,0.8442,9
9.6,Satisfied family travel.Employees' kindness,4.0,0.7003,6
6.8,"Remodeled and the room is clean and the bathroom is well organized.The cooking facilities are also well prepared, so it's good to be with your child.However, only one person is lacking in the front personnel.Welcome coffee is not good.The empty outdoor swimming pool is a year old.Overall, I felt like the resort was running with a feeling of possession.I think it would be okay to stay outside and stay.",8.0,0.9379,2
10.0,It's clean and close to Jungmun's tourist spots!It's good to be offered toothbrushes ~!,5.0,0.7339,4
6.4,"It was good for accommodation / food / but good.
Except for only one noise
It is enough to follow the room conversation next to the noise between floors / walls.It's called price, but there's a reason for cheap.
One star because of noise",6.0,0.7003,2
10.0,"The location is the best, so the view in the room is the best. The bed is large and the room is wide.",6.0,0.8555,4
9.2,"I have been resting well without inconvenience
The surroundings are also pretty
It was good to be kind when I checked in.
The bathroom was clean and the towels were plenty.
But as soon as I put down my luggage, I had hair on the floor, so I got a star from the cleanliness.
I'll make a reservation next time, but I hope you can't see it then ~
The rest was good",11.0,0.9423,2
10.0,"I like the view of the accommodation.There's a famous cafe and a promenade for colored beaches, making it easy to explore.I was worried that it was a trip with my parents.",2.0,0.4939,3
4.8,"It was good.I was able to sleep comfortably and comfortably because it was two double beds.The surrounding promenade was also well established, so I had a good time after meals.",10.0,0.8714,7
9.6,"I had a lot of food around and I used a bed, but there was no dust
This is the first lodge like this
Children also keep talking here.",1.0,0.1154,3
10.0,"The location is so good, the place to walk is cool, and the staff are very friendly.",6.0,0.8602,8
10.0,The surroundings were not crowded and quiet and good.,3.0,0.4404,2
10.0,I was surprised at the size and comfort of the room and I couldn't forget enough location and view to feel Jeju. I think I had a nice and happy stay in Jeju with my husband and Jeju.,7.0,0.8902,3
10.0,The room was clean and nice.I felt good to go next time.,8.0,0.6808,4
8.4,Accommodation where you can sleep comfortably,2.0,0.4215,3
10.0,"It was spacious and clean and the view was so good. It is a pity that there is no Elbe, but the bed is so comfortable and comfortable.",7.0,0.9407,2
10.0,It's so kind and the bread is so delicious and the view is so nice and good,11.0,0.9452,9
9.6,I went to the prenatal trip. The location was good and the view was good.,6.0,0.7003,2
8.4,Firm,0.0,0.0,2
10.0,"Location, room, breakfast, and price are good.",3.0,0.4404,8
10.0,"The view is good, clean, and the price is the best!",8.0,0.8777,4
6.0,"The room is spacious and simple, there is a Nespress machine microwave, and the bed is in two queen beds, but the shoe rack is narrow.
All of the staff are friendly
The attitude of not saying that the female staff was checked out on the day of 5 days and checked out.Thank you",5.0,0.6486,8
10.0,My mother liked it because the room was clean,4.0,0.6705,1
10.0,"It was so good that Ocean View was a good hostel, and I saw other people and I went through the inner modeling once.The inside was pleasant and so good.However, there is no elevator, so it would be a bit uncomfortable for senior guests or heavy luggage.",9.0,0.7895,2
8.8,"Location's best friendship
Bread from the morning
It's art. I've been resting well ??~~",5.0,0.8611,4
10.0,The view is good and the convenience facilities are good,6.0,0.7003,2
7.6,There was a problem with the room facility.,-2.0,-0.4019,0
10.0,"The large room was so good in the ocean view room!
The staff are also kind !!
Breakfast was fine !!
Unfortunately, there are no baby goods
Please note that there is no bed guard.",6.0,0.7656,4
10.0,Location facility breakfast sea view is nothing missing ^^,-2.0,0.2235,0
9.6,"The location is good, the landscape is good and satisfied",8.0,0.8225,8
10.0,"Remodeling is clean, kind and bed condition.",4.0,0.7269,9
10.0,"I used 3 people, but I was so satisfied
It was hygiene, breakfast and so good",5.0,0.9008,6
