score,comment,afinn_score,vader_score,cluster
10.0,"It wasn't until I lived in Jeju Island with Idul, but I just traveled.
I traveled around here and there, spent one day or two, and it was the pension that showed the best view on this trip.
Originally, I made a reservation in a regular room, and the mayor has upgraded to the multi -layer, saying that the kids would like the multi -layer.
Thank you so much ~~ ^^
If I couldn't go to the duplex, I couldn't see it with the true nature of this pension.
It was a very nice view because the weather was good
The bread that I gives in the morning has made it so good with many kinds of bread.
And I thought Sola Sido was just Mipasola City, but it was Solar See Do.
I have been having a really nice day ~~~ Thank you",23.0,0.9893,6
10.0,"I used only hotels during my trip to Jeju many times so far
For the first time, I chose Jeju Pension, but this place
I was really satisfied with my child here too
I said I wanted to sleep again
The boss also asks which way to travel
We also recommended and recommended the children and ours
All families were satisfied
If you have a chance next time, I will definitely visit again.
Healthy boss",12.0,0.9693,6
10.0,"Jeju was too expensive, and it was honestly burdensome because it was a trip to the peak season.But more important than the amount is that attentiveness and warmth to consider travelers.It was a pleasant night such as toast and coffee that could be thought of as recommended for various travel areas and situations and companions.I think it should have been a rare night.I personally want to come back.The typhoon has come, but I think it's a recommended pension.",12.0,0.7612,6
10.0,"It was a pity that it rained, but the kids liked it because it was a multi -storey hostel.Take good care of breakfast and be kind and the best",10.0,0.974,6
10.0,"Solari, who accidentally visited a few years ago. I vowed to come again.At that time, it was a perfect trip, including the accommodation view and clean cleaning.Even though it rained, I couldn't take a walk to the sea in front of the hostel, but it was so beautiful.I think I had a deep sleep after a long time thanks to the sound of the waves that resonated in a quiet room.My body and mind were really comfortable.Next time, I want to visit with my family.",11.0,0.8018,6
10.0,"It is a fantastic Sea View accommodation that is so sad that it is too bad to stay for a day.I had a short but pleasant time thanks to my neat accommodation, as well as the boss who wants to take care of one more thing.
Next time, I want to come to play with more time.",7.0,0.9696,6
10.0,"An 8 -year -old daughter went to the pension for the first time in her life.
It's a peak season, but it's 150,000 won.
To the world .... I am worried about where I will meet more pensions in the future because I have increased my expectations for our eye pension.
It was cloudy, so it was not clear, but it was the best view that was no place in the world.
I was really grateful to write the heart of the boss for explaining the likes and explaining the places that are worth going.
Thanks to this, I went to the local natural streams and went to the bunker of light ^^
The boss who gave me sincerely to the traveler.
To the toast and customized coffee baked with plenty of sincerity
Thank you very much for the full morning",20.0,0.9863,6
10.0,The boss was kind and the accommodation was good.The bread that I packed in the morning was also pretty in the basket and gave me a drink.My parents said that the accommodation was also good.,9.0,0.8591,6
10.0,"The scenery is so good.
I stayed in the double floor, but the second floor on the first floor is well seen.
It's good for walking in the morning, and it's healed just by watching the scenery while eating breakfast in the garden :) We also watched dolphins from afar.
If you manage the pension, you are very friendly and have a good room!I was surprised that the bedding was so good and the cleansing supplies in the bathroom were not cheap, but they were all good.
This is the accommodation that was satisfied as a whole",19.0,0.9921,6
10.0,"I think the reviews are really important in the accommodation ...
I went on a trip to Jeju Island with my son's daughter.
You can see the amazing Bumseom morning sunrise in the room ..
It was so good that there was a perimeter road where I could take a walk in front of the hostel ...
It was located in Jungmun, so the accessibility was good ...
The boss's breakfast service was also Berrygood ...
I don't write these reviews for all ... I was so good
I don't regret whether it's a family or a friend or a couple ...
The family was very satisfied ...",16.0,0.9776,6
10.0,"The boss is kind!
Please call me and let me know where to go on the way to the hostel.
Thanks to you, I went to the end of the day! Songaksan was a real view.",5.0,0.8475,6
10.0,"I went to last month, but the view was so pretty and I was right next to the Olle road, so I walked around while looking at the sea.It's a place I want to hear every time I come to Jeju Island.",2.0,0.7978,6
10.0,"It is well equipped with facilities around you, and you can lie in bed to see the very close sea and palm trees.If you open the glass window, you can eat meals or tea in the yard.As soon as I came in, I had a good fragrance and clean.There was a little mistake on the first day of the room, but it wasn't inconvenient to respond kindly ~ I want to visit next time.The boss is really kind.",4.0,0.9359,6
10.0,"When you enter the room, you have a view that you can stay quiet and stay quiet.In addition, the boss was very kind and so sources that it was very comfortable to recommend this kind of tourist destination!It's a complete recommendation ~ I want to stay again next time.",7.0,0.9364,6
10.0,"-The neat accommodation
-The wonderful sea view
-The friendly employee
-The delicious breakfast (bread coffee
-Washy toiletries with warm water
- Cute cat",12.0,0.9552,6
10.0,"It was better than expected
I made a reservation for the newly married buchar room, but the double floor room was empty, so I gave it a special room.The sea is a frame of it. I like the view.
I slept with the blanket on the first floor, but it was also a memory and fun. Oh and it would be different in every room, but I was a moonlight 2 gram double -storey room.
Overall, it was better than expected ^^ If you only change the sofa, I want to stay again ~~",10.0,0.9493,6
10.0,"Accommodation Parking Accommodation Sanitation Status and the boss is really kind.It is the best in Jeju Island.The next time I go to Seogwipo, I will visit again!",5.0,0.6696,6
10.0,"There are some parts of the expert's photos, but the accommodation satisfaction was the best.
The steps to see the sunrise were enough to see only 30.
Thank you again for introducing breakfast and nearby restaurant sightseeing spots with your boss's love.
Thanks to this, I stayed comfortably.",12.0,0.9822,6
10.0,The boss is so kind.,2.0,0.656,2
10.0,"The sea view was the best in Jeju with my family. The boss was kind and clean. I had breakfast in the morning, but it was delicious.",10.0,0.8934,2
10.0,"The facilities and locations, especially the ocean view, are excellent.The boss is kind and the double -story structure is comfortable.I want to use it again next time.",8.0,0.5719,6
10.0,The seaside pension is all about restaurants and the sea can be seen in the hostel.,0.0,0.0,6
10.0,"I entered it late, but as soon as I entered the hostel, the room was so pretty and clean ..?? The leak is also good and well decorated.And in the morning, I wake up in the morning, I can see the beautiful Jeju sea right away.
I woke up late and couldn't have breakfast, but I had a breakfast separately.I'll visit you again next time I come to Jeju !!!!!!!!!!",8.0,0.9716,6
10.0,"The sea landscape and promenade in front of the hostel were too healed, and I also liked the surrounding food and gifts.I take a rest in a good place in a long time",5.0,0.6908,6
10.0,"I visited four people with my friends!It was all good, but I want to explain one by one.

Accommodation: In fact, it might be a little smaller to stay with 4 people!There is a two -person bed on the second floor and one sofa bad is slept with a blanket.It didn't matter because I knew it, but if it was uncomfortable, it would be hard.We liked to play on the first floor and to sleep.

Accommodation View: The view is the best.I went in October, but it still leans. It is so cool that the sea outside the window as soon as I wake up on the second floor is too cool.If you sit at the yard table in the morning and enjoy the sound of the sea with breakfast, this is happiness.It's easy to walk in front of the sea.

Near the accommodation: Once in front of the hostel, there is a way to walk along the morning walk.
If you go to the other side, you can have a cafe or a souvenir shop convenience store.This is possible on foot, and along the driveway for about 10 minutes through the village alley, there is a Starbucks or another convenience store.It's all about 10 minutes to walk, so it's worth going to a walk.

Staff: The owner was so good.I started to write down this review and started to write down ? It's so sincere to grill the bread every morning and take care of the coffee ... If you tell me the direction in the morning, I open a thick note to tell you the places to go there.It was exhaust information!There was no regret that I went and stayed for 4 nights, so I was so kind and friendly like a daughter.

There are a lot of things that have been taken care of, but all of them are too large in the timely manner ?ㅎ ?ㅎ??Thank you and so happy.

It remains so good, so if you go to Jeju Island next time, you will be doing this place!

ps.I didn't use it, but I can wash it!The breakfast is a little early and it is recommended to eat while watching the landscape ?",36.0,0.9949,6
10.0,"I feel so satisfied with the details of the accommodation.The next time I travel to Seogwipo, I'll come again.",2.0,0.4754,6
10.0,"The view is so good and the boss is so kind
I like breakfast too much",7.0,0.8976,2
10.0,"Next to the sea road, there is a circumference.Light walks are possible, there are foods around, and hygiene is clean.The representative was kind and the breakfast was simple and good.(I can see it separately.)",7.0,0.5267,6
10.0,"The facilities were cleaner than Shijin, the sea view was good, and the amenity was so kind and the breakfast toast was delicious.",10.0,0.913,6
10.0,"It was a lodging that was not a flawful boss and the landscape around the clean lodging.
The sunrise in the room is a bonus ~ ^^
There is also a Haenyeo village on the beach promenade.",2.0,0.7351,6
10.0,It was so clean and so good,5.0,0.7707,7
10.0,"The boss is kind to your favorite neighborhood, so clean room",6.0,0.8553,6
10.0,"I traveled with my daughter, but the neighborhood is so pretty and the pension location is so good.The view is awesome, it's good to take a walk in the morning and evening, and you are very friendly.Please also recommend sightseeing spots around you.
I want to recommend it to an acquaintance and I want to stop by the next trip.
You can also see the sunrise ~~",19.0,0.9737,6
9.6,It is a accommodation with all kinds of kindness.The view is good.You can see the sunrise and go to the beach to see pretty sunset.It's a good place to find a quiet place.,9.0,0.7269,6
10.0,I also like breakfast.,2.0,0.3612,2
10.0,"really
I was kind",2.0,0.5688,0
9.6,"Friendly, located, good price, and all satisfied.I recommend it.",9.0,0.8225,6
9.2,"All the best except for the inside of the inside
The hostel is very cute and clean ..
The boss was very kind and the bread that came out for breakfast was also delicious ...
I want to use it again in the wall",13.0,0.9593,6
9.6,"The view is good and clean and the boss offers breakfast.
It was a good trip.
I'll go again next time",8.0,0.8176,7
10.0,"The boss is good, the scenery is good, and all of our family will come back",6.0,0.7003,7
8.4,"It's quiet and hazy for the coast.
The boss is kind and breakfast is also delicious",5.0,0.7964,2
9.6,"The boss was very kind and you introduced me in detail the nearby tourist attractions and restaurants.
The view was so pretty and the family had a good time
Recommended as a good hostel",13.0,0.9532,6
8.0,The best in the morning waves,3.0,0.6369,6
10.0,"I recommend it.It's on the beach, but the scenery is awesome.",6.0,0.8126,6
8.8,Detailed explanations for the surrounding restaurants or visit destinations are good,3.0,0.4404,6
10.0,"It was a shame that the weather was cloudy and it rained, so I couldn't eat the toast that the boss made carefully in the garden, but it was a satisfactory accommodation in every way.I want to have a garden.",1.0,0.4404,6
10.0,Everything is satisfactory and the view is so cool.,1.0,0.6696,6
9.6,One of the Olle Trail 7 -course fantasy accommodation.It was a choice not to regret.,-2.0,0.3252,6
10.0,"The view is good
The boss is over ~~ You are kind
Everything is satisfied with the accommodation ^^",7.0,0.8442,7
8.8,"Lodges for family trips
The boss and the staff are friendly
Every morning, I had a warm toast and coffee juice, so I ate well and rested well.
The two -story double -story structure is also visible and in a quiet place
Good night",6.0,0.8947,6
8.8,#The daughters and the two of them left because they needed healing.,0.0,0.0,6
8.4,"It was a shame that I couldn't see a fantastic view because of the cloudy days.The barbecue is available until 9 o'clock and is 25 000 won for 2 Myeonggi.Charcoal Full tongs are provided like this.The children liked it because it was a multi -storey floor, but there is no mosquito net because the windows have to be pushed.please refer to this.",9.0,-0.2052,6
8.8,"I've been traveling to my wife and making good memories.
I liked the boss's kindness.",7.0,0.8271,6
10.0,"The view is so good and especially satisfied with the cleanliness
The owner is also kind and recommended",9.0,0.9008,9
10.0,"The surrounding scenery was clean management.If you go back to Jeju, I want to go back",3.0,0.4588,6
10.0,Berrynai,0.0,0.0,6
9.2,"I spent it with the children.I liked it so much
There is a sea right in front of you
Take care of your delicious breakfast ...
I want to stay again next time",8.0,0.875,6
10.0,"It is kind and clean, and the location is also art.
I want to have the next trip here
Thank you so much",7.0,0.836,4
9.2,"When you wake up in the morning, the view ends",0.0,0.0,6
9.2,"I couldn't go anywhere because of the snow, but the view of the beach from the hostel is fantastic ^^ The boss is kind and well.",6.0,0.9209,6
10.0,"The boss is kind and kindly knows around, please be happy to know the trip.",6.0,0.9118,6
8.8,"You are so kind in the morning.Three men in their 20s were broken bread, and the boss ride the bus terminal.And the view is art.The vast ocean view is art and the sunset is good.If you look at the sea and eat it with a barbecue, it's over.Of course, the disadvantage is that the rest of the bed should be sleeped on the floor, but it is not considered a disadvantage at all.",0.0,-0.6081,6
9.6,"Bumseom overlooks right in front of
It is a beautiful accommodation with Olle trail 7.
The boss is also kind
Morning breakfast bread and coffee are great.
If you're lucky in the morning and evening
You can also see dolphins",11.0,0.9349,6
10.0,"When I woke up, the ocean view that I could see at a glance was so good that the window was south -facing.This year's trip to Jeju Island was healing, but I was satisfied with it.",5.0,0.7245,6
8.8,"The morning sunrise and the sea view of Beomseom
It's so cool.
The staff are kind and good to use two people.
More than three people have a rather narrow sense.",6.0,0.8516,6
10.0,My parents were also very satisfied,2.0,0.4754,6
10.0,"The cleanest, the really cleansing, like my house",2.0,0.4173,6
8.8,"Ocean view was very best for four -family lodgings, and it was especially good to sit on the bed on the bed and enjoy a cup of tea while watching the sea and island.
And it's also good to play in the seawater right in front of you.",11.0,0.9475,6
8.8,I am so satisfied with the wonderful view and kind boss.The view that looks like a lodging window is really like a picture.,12.0,0.9348,6
10.0,"It is the best trip.
Location scenery is the best.",6.0,0.8555,6
10.0,The cleanliness of the best view was really good ~~ ^^,6.0,0.8122,6
10.0,The scenery is good and the owner took care of it so I went comfortably.,7.0,0.8473,6
9.6,You are so kind.The view is great and the view is best for Seogwipo sightseeing.I have been clean and well rested indoors.,10.0,0.9201,6
9.6,"The sea view was so good and the pension was so pretty.The boss is also very kind and breathe in the morning and puts breakfast in a box because he won't eat breakfast.
In the real review, the boss was kind, but it was the first time he liked it.
I have been conveying the heart ^^ The pension view is wonderful and our groom is that I can't even come to Solasido Pension or Jeju. ^^ Thank you very much ^^",19.0,0.9588,6
10.0,"Above all, the view is awesome and the pension is also kind
It was good to have a bakery breakfast in the morning.",9.0,0.886,6
10.0,"Everything was so good
It is close to the convenience store and the chicken restaurant is also nearby.
Good to walk around",6.0,0.7678,6
10.0,"The view was awesome, so I visited and went back again.In addition, I was grateful for free breakfast.",8.0,0.886,6
10.0,"Too clean and friendly employees
All supplies hotel class in the hostel
Breakfast. It was so delicious
It was a happy trip",10.0,0.9365,6
10.0,I made a reservation for the ocean view and I chose well.The person who responded to the boss was very kind and the room was clean and good ~,7.0,0.8516,6
10.0,"Leave it for the first time later
There was a beach right in front of me, so I could see the pretty sunrise.
And there was a secluded promenade, so I was able to walk a refreshing morning while looking at the sea.
Bread and coffee or Citrus juice brunch came out as a service.
The boss's fun service starts a pleasant morning.
Highly recommended",9.0,0.8932,6
10.0,I like cleanliness.The boss is very kind.The view is really good.Sublime,7.0,0.3612,6
10.0,Recommended view is so good.,5.0,0.6748,7
10.0,"The location was good, quiet and quiet.The boss and the staff are so kind ~",5.0,0.8056,8
10.0,"As a result of Jeju Island, I stayed while staying in Jeju Island.
The boss is really kind
The beach scenery I saw in the room was really good
It seems to be lucky to be a memorable accommodation
Always thrive",9.0,0.8653,6
10.0,"The accommodation was very neat first.The owner's aunt was so kind and recommended by Bio.I have a good breakfast and I like my parents, so I think it's a good place to come with my family ~~~",12.0,0.9518,6
9.6,I upgraded the accommodation and traveled comfortably.The view in front is fantastic.There are also promenades and rich foods,8.0,0.5574,6
10.0,"I stayed on the first floor.Lying in bed and looking out the window, it felt like I'm lying on the beach.The garden in front of the window is well decorated, but it was summer, so it was very hot.In the morning, the boss is very delicious to give toast and coffee.There was no bug and the accommodation was clean.",6.0,0.8095,6
10.0,"It's a cloudy day, but it's easy, but it's good to hit the terrace. I'm quiet and comfortable.",6.0,0.9209,6
9.2,Eating simple breakfast in the morning .. Happy chatter with friends in the yard.,3.0,0.7783,6
10.0,"The 4 -person adult family stayed for two days, but the view was pretty, the owner was kind and the breakfast bread was delicious.",6.0,0.9428,6
10.0,"All rooms are sea view.
Friendly boss's welcome photo service
Neat bread
A fun time with your child in the garden on the first floor
Convenience store and a nice atmosphere pub nearby
Jeju Stone Road, which is good to walk in Haenyeo experience",14.0,0.9531,6
9.6,"This is 7 nights of Jeju Island, but the boss was kind and hygiene was fine.There is a sea right in front of you and convenience facilities such as convenience stores.
I rest well.",4.0,0.8047,6
10.0,There are many places to walk around and you can see the sea as soon as you open the window.I walked and called Olle Trail 7 Course and came to pick it up ?ㅎ???️ Thank you so much!,2.0,0.5792,6
10.0,"I was bored only in the hotel for a honeymoon, so I booked it as a pension for a day, but I was personally more satisfied than a 5 -star hotel !!
I've been comfortable with the Ocean View right in bed and so kind to the boss.
In the morning, breakfast to eat while watching the sea is also tasted honey.
If you go to Jeju next time, I will definitely visit again!",4.0,0.9662,6
10.0,The boss was so kind and the breakfast was delicious.,5.0,0.8429,2
9.6,"It's in front of the sea, so it's good to see, and there is a simple breakfast (bread coffee).

The location is near Seogwipo, so the market is not far away.

It is convenient

Above all, the boss is very kind ~ ^^",5.0,0.7828,6
8.8,"The dead cockroach came out, but it seems like a hostel who was able to feel rest after traveling for 4 days.",-1.0,0.1531,6
10.0,The sunrise I saw in the morning was really beautiful.The managed people were kind and the facilities were very clean.I will visit again.^^,7.0,0.5267,6
8.4,"The sea scenery is good and the boss is kind and so good.

One thing to note is the bathroom.The window is right next to the shower booth, but there is a risk of seeing the silhouette on the coastal promenade, so please check the top of the blinds before the shower.",9.0,0.8242,6
10.0,"I went to the next day, but I taught me that it was hard to transfer the bus and took the road to the city.Recommended 50000000%",1.0,-0.1531,6
10.0,"This is a view restaurant
The location was so good and there were many places to eat around
The boss is kind
I also had breakfast breakfast too well ^^",5.0,0.8497,2
10.0,"The location is the best, so you can go anywhere !!The staff are also friendly and good !!",8.0,0.9094,6
8.8,It is a good accommodation.,3.0,0.4404,7
8.0,Good view,3.0,0.4404,7
10.0,"The boss is so kind, clean and good ~
The day was cloudy, but the morning sea was also pretty
My mom is so satisfied that you will come again next time haha
Next time, I will find it again!",13.0,0.9645,6
10.0,"Ocean view so pretty ~ Too clean accommodation ~
The boss is so kind ~ I will leave a pleasant memories^.^*",7.0,0.9358,6
8.4,"Overall, it was okay, but I left it with a little bit of regret.
It was the second floor, but I was going to change the convenience store at night, but it was a bit dangerous because there was no fire to reveal the stairs.",-7.0,-0.917,6
9.2,I was kind and received a good tourism guide.,5.0,0.743,6
10.0,"The boss is also kind and the surrounding landscape is good ~
I ate breakfast breakfast so much ~ ^^",5.0,0.743,2
10.0,The boss was ?and it was clean and good,5.0,0.6808,7
10.0,"The location was also very good in Jungmun and the room view was the best.The boss was so kind.I have a breakfast separately, but I can't eat it early in the morning.",8.0,0.2724,6
10.0,"The view is so good.
I like the beach walking department with children.",5.0,0.7593,6
10.0,"Two days at a pension with two floors.The wide sea view from the second floor of the wide sea view from the first floor is excellent.The boss gives a breakfast with butter jam in a croquose toast in a few coffee breads in the morning.The day I went to the day was the day when the typhoon Barbie came up, but outside the dangerous typhoon rain and waves were driven outside, and the feeling was so safe inside ?ㅎ",3.0,0.2238,6
10.0,"You can see Beomseom right in front of you
Toast and coffee is so delicious in the morning
The recommended destination of the friendly boss
I decided to go alone with my friends and the kids next time.
It was a bit unfortunate because of the dark seaweed
It was so good ^^",8.0,0.9115,6
9.2,The boss was kind and the view was so good and clean and it was so good ~~,10.0,0.9306,7
10.0,"The boss is very kind and the view from ROM is beautiful.It's an Olle 7 course right in front of you, so you can get up early.",5.0,0.5709,6
9.6,"I went with my family, but I was so kind to contact me when I was coming late.
It was good to have bread, coffee, and breakfast, and it was good for the convenience store and it was right in front of the sea ~
However, it was 2 nights (cleaning was not so good ~) I didn't give a new towel because I didn't give a new garbage cleanup and towel.
 It was spacious and good because it was comfortable and duplex ~
I have a doctor again next time ^^

There is a convenience store nearby, so it was good ?",19.0,0.9858,6
10.0,"I stayed on the first floor, but the landscape was so beautiful that I was looking out the window.",3.0,0.8396,6
10.0,"I used the studio on the first floor where the sea was seen in front of me, but the view was the best than any other accommodation ~ It was so good to be a barbecue, and the girl who was a girl was better to play the piano in a rainy evening!
I gave you a simple breakfast in the morning ~ ^^
It was a more memorable pension than the Chinese 5 -star hotel.",8.0,0.9623,1
8.8,All of the owners were so kind that they were so friendly.,4.0,0.8585,6
2.0,-,0.0,0.0,6
